Date,Close/Last,Volume,Open,High,Low
06/22/2023,$137.41,4827381,$137.15,$137.90,$135.89
06/21/2023,$136.86,5828444,$136.75,$137.43,$134.68
06/20/2023,$137.82,4868972,$137.10,$138.95,$136.66
06/16/2023,$138.64,14616000,$136.70,$138.92,$136.485
06/15/2023,$135.89,6614867,$136.75,$136.84,$135.46
06/14/2023,$136.23,6128322,$138.81,$139.27,$136.08
06/13/2023,$138.31,4229114,$137.51,$138.47,$137.20
06/12/2023,$137.73,4888612,$139.58,$139.67,$136.905
06/09/2023,$138.18,4359676,$137.56,$139.1858,$137.08
06/08/2023,$137.64,4714346,$137.00,$137.89,$136.00
06/07/2023,$136.50,4645397,$134.90,$137.06,$134.26
06/06/2023,$135.43,4359933,$137.47,$137.54,$134.63
06/05/2023,$136.86,4276414,$137.00,$138.31,$136.29
06/02/2023,$136.87,6661613,$133.71,$136.97,$133.50
06/01/2023,$133.44,11895560,$135.26,$135.26,$131.10
05/31/2023,$137.96,12579060,$136.62,$138.71,$135.7677
05/30/2023,$136.44,7671512,$135.49,$136.835,$135.25
05/26/2023,$137.56,7590596,$138.72,$139.85,$137.10
05/25/2023,$138.62,6986571,$140.03,$140.20,$138.26
05/24/2023,$141.15,4143510,$142.59,$142.94,$140.94
05/23/2023,$142.52,5121865,$144.45,$144.82,$142.34
05/22/2023,$144.90,3867314,$145.47,$146.66,$143.78
05/19/2023,$145.11,5610287,$143.86,$145.80,$143.80
05/18/2023,$143.44,4791232,$142.61,$143.56,$141.975
05/17/2023,$143.35,5482179,$143.02,$143.52,$140.52
05/16/2023,$143.29,4686169,$145.86,$146.94,$143.23
05/15/2023,$146.59,4391988,$147.67,$148.90,$145.66
05/12/2023,$147.15,3526535,$146.79,$147.60,$146.07
05/11/2023,$146.59,4300537,$147.29,$147.57,$145.19
05/10/2023,$146.42,4127299,$146.52,$146.9822,$145.1531
05/09/2023,$146.83,4201761,$147.41,$148.46,$146.27
05/08/2023,$147.45,3689670,$148.15,$148.20,$146.74
05/05/2023,$148.03,4447899,$148.54,$149.38,$147.14
05/04/2023,$147.36,5694328,$149.00,$149.00,$146.35
05/03/2023,$149.25,6815547,$151.07,$151.51,$148.45
05/02/2023,$151.62,5135645,$153.55,$155.02,$151.20
05/01/2023,$153.71,5601024,$150.84,$154.71,$150.82
04/28/2023,$151.12,7123969,$147.97,$151.39,$147.44
04/27/2023,$148.87,17063030,$153.87,$153.87,$147.16
04/26/2023,$161.80,5191976,$162.68,$163.26,$160.5015
04/25/2023,$164.90,5506163,$164.81,$166.20,$164.49
04/24/2023,$164.08,4729221,$162.57,$164.36,$162.33
04/21/2023,$162.41,4812336,$162.59,$163.19,$162.02
04/20/2023,$161.74,3808233,$161.18,$161.77,$160.58
04/19/2023,$161.21,4826940,$158.67,$161.44,$158.52
04/18/2023,$159.59,4996418,$161.00,$161.23,$158.41
04/17/2023,$161.18,4354109,$161.92,$162.20,$160.645
04/14/2023,$161.59,3473284,$162.64,$163.00,$160.93
04/13/2023,$162.69,3868681,$161.00,$162.861,$160.55
04/12/2023,$162.36,4005041,$162.12,$163.48,$161.60
04/11/2023,$161.38,2875876,$161.49,$162.59,$161.19
04/10/2023,$161.28,3309544,$161.71,$162.06,$160.21
04/06/2023,$161.55,5498465,$160.80,$162.19,$160.62
04/05/2023,$160.80,5743036,$160.00,$161.67,$159.01
04/04/2023,$159.78,4224607,$160.51,$161.73,$159.53
04/03/2023,$160.42,4389371,$158.25,$160.47,$157.7915
03/31/2023,$159.37,4957340,$158.43,$159.57,$157.73
03/30/2023,$157.92,3635850,$158.01,$158.53,$157.42
03/29/2023,$158.00,3959986,$158.98,$159.70,$156.36
03/28/2023,$158.25,3532488,$157.80,$158.5988,$157.45
03/27/2023,$157.54,3887844,$158.83,$159.14,$157.375
03/24/2023,$158.02,4678822,$155.28,$158.48,$154.59
03/23/2023,$155.30,4584071,$154.10,$156.50,$154.02
03/22/2023,$153.67,4376890,$155.68,$156.88,$153.61
03/21/2023,$156.77,4675760,$156.64,$157.05,$155.10
03/20/2023,$156.12,4408449,$154.52,$156.34,$154.46
03/17/2023,$154.22,42756430,$155.78,$156.07,$151.88
03/16/2023,$155.30,6331262,$153.20,$155.92,$152.51
03/15/2023,$154.06,6304637,$152.18,$154.38,$151.725
03/14/2023,$153.85,6644091,$151.95,$153.99,$151.46
03/13/2023,$151.95,7653805,$149.00,$153.32,$149.00
03/10/2023,$149.71,6825537,$147.84,$150.64,$147.47
03/09/2023,$147.35,5350616,$150.07,$150.91,$146.575
03/08/2023,$149.60,5860279,$152.79,$153.74,$148.54
03/07/2023,$152.93,4606864,$155.57,$155.67,$152.05
03/06/2023,$155.28,4051860,$155.79,$156.46,$154.545
03/03/2023,$156.06,4851351,$154.33,$156.17,$154.005
03/02/2023,$154.38,4569616,$155.23,$155.77,$154.21
03/01/2023,$155.27,5485959,$152.76,$155.58,$152.37
02/28/2023,$153.90,7561840,$153.96,$154.37,$152.62
02/27/2023,$154.28,6828968,$153.26,$154.745,$153.10
02/24/2023,$152.71,5621293,$151.30,$152.98,$150.905
02/23/2023,$152.07,5993448,$150.90,$153.57,$149.17
02/22/2023,$150.67,6041747,$151.00,$152.15,$150.24
02/21/2023,$152.00,8466058,$149.82,$153.02,$149.82
02/17/2023,$151.31,4562520,$149.15,$151.39,$148.61
02/16/2023,$149.53,3757489,$149.11,$150.50,$148.73
02/15/2023,$151.06,5648431,$152.62,$153.49,$150.83
02/14/2023,$152.59,4662841,$153.92,$154.00,$151.76
02/13/2023,$153.73,5602677,$152.02,$153.78,$151.26
02/10/2023,$152.05,8956730,$149.69,$153.18,$148.77
02/09/2023,$148.70,12216910,$148.50,$153.70,$147.90
02/08/2023,$144.61,5753781,$145.41,$146.35,$144.47
02/07/2023,$145.14,5401859,$144.58,$145.462,$143.66
02/06/2023,$145.02,4296963,$145.74,$146.33,$144.805
02/03/2023,$145.20,6552966,$145.92,$146.80,$144.70
02/02/2023,$144.84,6160758,$145.93,$145.93,$143.44
02/01/2023,$146.60,5439922,$146.63,$147.44,$145.25
01/31/2023,$147.75,5628869,$145.63,$147.85,$144.41
01/30/2023,$145.65,4573369,$145.87,$147.12,$145.26
01/27/2023,$146.28,4591481,$147.31,$147.6799,$146.015
01/26/2023,$147.40,4577825,$147.92,$148.70,$147.11
01/25/2023,$147.79,5744293,$147.38,$147.98,$146.50
01/24/2023,$147.69,5171361,$148.08,$148.865,$146.44
01/23/2023,$148.55,7616363,$149.86,$150.43,$148.0542
01/20/2023,$149.59,7059012,$149.43,$149.71,$147.15
01/19/2023,$148.71,7170148,$148.95,$150.54,$147.3317
01/18/2023,$149.20,6190824,$152.12,$152.42,$149.07
01/17/2023,$152.83,8507159,$153.80,$155.10,$152.58
01/13/2023,$153.60,6019501,$152.09,$153.81,$151.34
01/12/2023,$152.22,7665110,$155.00,$155.26,$151.72
01/11/2023,$157.17,7492023,$159.22,$159.34,$155.06
01/10/2023,$159.64,5936187,$162.23,$162.42,$158.30
01/09/2023,$161.66,7832955,$165.90,$166.28,$160.88
01/06/2023,$166.55,5099112,$164.84,$168.11,$164.12
01/05/2023,$163.49,3516002,$163.09,$164.49,$162.34
01/04/2023,$163.69,4440480,$162.40,$164.28,$161.51
01/03/2023,$162.38,4937722,$162.04,$163.02,$160.81
12/30/2022,$161.61,3680370,$162.23,$162.845,$159.82
12/29/2022,$162.56,3112642,$162.96,$163.88,$162.19
12/28/2022,$162.23,2944692,$163.70,$164.69,$162.11
12/27/2022,$162.99,2669310,$163.49,$163.81,$161.7797
12/23/2022,$163.10,2685137,$163.39,$163.82,$162.33
