Date,Close/Last,Volume,Open,High,Low
06/22/2023,$477.58,3603787,$474.12,$481.00,$473.0201
06/21/2023,$477.48,5258704,$492.00,$495.55,$475.31
06/20/2023,$485.86,5336284,$485.63,$492.6883,$480.00
06/16/2023,$495.18,13343820,$518.23,$518.74,$494.62
06/15/2023,$490.91,9682234,$475.47,$495.1999,$474.25
06/14/2023,$479.53,5150116,$476.15,$483.85,$473.20
06/13/2023,$478.99,7412478,$489.71,$491.51,$470.36
06/12/2023,$474.63,6930639,$463.705,$478.04,$459.42
06/09/2023,$454.00,7933961,$456.91,$466.59,$453.09
06/08/2023,$439.03,6065556,$424.15,$440.6275,$423.5841
06/07/2023,$418.32,4772958,$434.56,$436.81,$417.7425
06/06/2023,$432.89,2342000,$432.55,$437.12,$431.24
06/05/2023,$434.18,3447429,$433.01,$440.3799,$426.96
06/02/2023,$436.37,4334768,$432.00,$438.5308,$430.36
06/01/2023,$426.75,4443071,$412.29,$430.60,$412.29
05/31/2023,$417.79,5158453,$413.90,$421.36,$410.701
05/30/2023,$417.21,5332305,$429.94,$432.99,$416.08
05/26/2023,$415.39,7833550,$396.72,$416.36,$396.57
05/25/2023,$392.06,7029991,$375.49,$397.6515,$374.09
05/24/2023,$365.76,2666564,$368.41,$369.06,$361.72
05/23/2023,$370.42,2967666,$371.81,$376.49,$369.92
05/22/2023,$372.05,2627139,$371.25,$374.4025,$369.66
05/19/2023,$371.25,3856887,$363.00,$372.08,$361.36
05/18/2023,$360.43,2896438,$357.00,$361.48,$356.45
05/17/2023,$356.63,3560559,$345.36,$358.69,$345.12
05/16/2023,$345.11,2558537,$344.20,$347.065,$341.17
05/15/2023,$345.67,3330491,$337.35,$345.89,$333.01
05/12/2023,$335.45,4278675,$340.51,$340.79,$331.89
05/11/2023,$341.58,2183379,$341.88,$344.66,$339.37
05/10/2023,$344.02,3386325,$348.25,$351.995,$341.8318
05/09/2023,$342.65,1879635,$342.50,$345.00,$341.23
05/08/2023,$344.06,3135894,$348.00,$350.48,$340.76
05/05/2023,$348.40,4260906,$338.98,$349.55,$338.03
05/04/2023,$335.83,6614890,$347.97,$348.00,$332.84
05/03/2023,$345.25,6700789,$363.49,$365.96,$344.235
05/02/2023,$368.66,2287616,$374.355,$375.845,$367.84
05/01/2023,$374.15,1867950,$376.51,$378.72,$373.71
04/28/2023,$377.56,2061740,$371.42,$377.69,$368.56
04/27/2023,$371.42,2338835,$365.94,$373.8199,$363.50
04/26/2023,$363.06,2803239,$368.60,$369.45,$357.25
04/25/2023,$369.59,2413128,$373.63,$375.23,$368.88
04/24/2023,$377.34,1531057,$376.59,$378.95,$373.57
04/21/2023,$377.67,1841641,$379.97,$380.44,$375.44
04/20/2023,$380.26,1947863,$376.04,$382.995,$375.67
04/19/2023,$380.11,1775191,$377.90,$382.84,$375.60
04/18/2023,$377.55,1586650,$380.90,$380.90,$374.4875
04/17/2023,$377.92,1614322,$379.61,$380.76,$374.62
04/14/2023,$379.38,1525633,$376.37,$380.57,$375.14
04/13/2023,$378.80,2434809,$373.20,$379.02,$372.73
04/12/2023,$369.89,1978197,$376.42,$378.23,$368.75
04/11/2023,$371.11,2161051,$374.01,$375.90,$368.35
04/10/2023,$376.25,1689674,$375.48,$376.67,$372.26
04/06/2023,$380.60,1836025,$379.31,$382.46,$375.99
04/05/2023,$382.02,2277403,$384.09,$386.00,$377.255
04/04/2023,$385.15,2569950,$382.24,$385.70,$381.0502
04/03/2023,$380.08,2712644,$380.88,$383.73,$378.15
03/31/2023,$385.37,3063428,$382.29,$385.73,$380.26
03/30/2023,$381.90,2138955,$381.65,$382.58,$378.08
03/29/2023,$379.16,2497612,$376.68,$380.12,$375.56
03/28/2023,$373.40,1780809,$373.42,$374.00,$367.82
03/27/2023,$373.15,2832190,$376.51,$380.35,$369.68
03/24/2023,$374.96,2995521,$370.23,$375.23,$367.72
03/23/2023,$369.00,3138588,$368.99,$375.2499,$365.49
