Date,Close/Last,Volume,Open,High,Low
06/22/2023,$717.41,699946,$701.98,$717.75,$700.35
06/21/2023,$707.30,820333,$718.62,$719.55,$704.86
06/20/2023,$720.41,799845,$720.62,$724.74,$710.58
06/16/2023,$721.88,1337386,$731.40,$733.16,$720.00
06/15/2023,$738.69,820496,$723.27,$744.44,$722.32
06/14/2023,$740.21,821480,$735.41,$741.72,$728.16
06/13/2023,$737.27,876117,$737.22,$739.40,$723.80
06/12/2023,$730.17,1059629,$721.99,$730.77,$720.00
06/09/2023,$715.86,864810,$720.56,$725.6062,$712.61
06/08/2023,$720.05,763385,$711.10,$720.42,$708.37
06/07/2023,$710.21,921363,$713.36,$720.15,$705.57
06/06/2023,$716.63,845359,$707.75,$717.64,$702.945
06/05/2023,$722.20,663685,$724.64,$726.63,$718.395
06/02/2023,$724.65,813874,$730.00,$732.55,$719.76
06/01/2023,$726.77,992226,$724.20,$732.7225,$718.545
05/31/2023,$722.93,1347615,$727.07,$730.035,$713.28
05/30/2023,$728.26,1411133,$743.13,$747.13,$725.55
05/26/2023,$735.93,2349129,$716.65,$742.31,$715.635
05/25/2023,$708.48,1929808,$701.02,$710.99,$693.76
05/24/2023,$666.79,1159282,$668.06,$670.84,$661.1771
05/23/2023,$681.45,958820,$690.85,$693.38,$678.855
05/22/2023,$698.64,856004,$690.86,$699.60,$688.83
05/19/2023,$694.00,949713,$698.00,$699.865,$693.84
05/18/2023,$695.93,1458993,$675.27,$697.25,$675.065
05/17/2023,$670.50,1162722,$656.99,$671.40,$652.77
05/16/2023,$652.05,710054,$652.78,$657.87,$651.575
05/15/2023,$655.69,893445,$646.88,$655.70,$644.88
05/12/2023,$647.51,375389,$649.34,$651.00,$642.10
05/11/2023,$650.19,560670,$650.78,$652.28,$645.15
05/10/2023,$657.14,813707,$654.38,$660.40,$651.90
05/09/2023,$643.05,746124,$640.50,$643.87,$638.28
05/08/2023,$654.99,518976,$651.75,$655.00,$649.21
05/05/2023,$650.32,801536,$636.68,$654.22,$633.9001
05/04/2023,$635.05,614042,$632.13,$639.34,$629.85
05/03/2023,$634.74,582898,$633.94,$644.65,$630.72
05/02/2023,$634.05,738054,$632.87,$637.5199,$628.53
05/01/2023,$635.20,469549,$635.00,$639.21,$634.03
04/28/2023,$636.86,823066,$630.86,$637.34,$626.522
04/27/2023,$629.24,1126984,$621.76,$631.30,$612.77
04/26/2023,$609.10,844220,$613.72,$615.13,$606.17
04/25/2023,$605.76,1404899,$626.47,$626.47,$605.76
04/24/2023,$627.38,1431396,$640.83,$641.31,$626.93
04/21/2023,$634.47,982051,$635.51,$637.14,$627.80
04/20/2023,$633.57,1692932,$625.36,$639.875,$625.36
04/19/2023,$623.60,2266075,$624.76,$627.95,$616.88
04/18/2023,$643.33,910261,$644.69,$648.27,$636.7601
04/17/2023,$639.04,1536533,$638.74,$642.10,$632.28
04/14/2023,$666.20,645933,$665.41,$672.64,$659.3701
04/13/2023,$665.41,1118638,$662.33,$670.88,$659.85
04/12/2023,$654.66,897284,$669.01,$672.00,$653.69
04/11/2023,$659.77,787448,$669.51,$672.735,$658.97
04/10/2023,$661.64,688657,$649.93,$661.99,$645.49
04/06/2023,$657.12,679595,$658.30,$665.20,$655.32
04/05/2023,$663.90,850433,$663.66,$664.78,$657.31
04/04/2023,$668.68,877943,$675.88,$681.60,$666.061
04/03/2023,$673.99,657225,$674.80,$675.74,$667.39
03/31/2023,$680.71,681621,$675.09,$683.18,$673.6282
03/30/2023,$676.68,892461,$675.20,$680.63,$673.51
03/29/2023,$659.12,1101775,$649.57,$665.17,$648.465
03/28/2023,$639.71,793445,$644.10,$644.62,$632.38
03/27/2023,$644.05,800543,$655.37,$657.48,$643.05
03/24/2023,$647.53,842922,$656.055,$658.95,$639.75
03/23/2023,$664.16,1171487,$657.74,$673.94,$654.94
03/22/2023,$640.37,955486,$643.00,$661.40,$639.54
03/21/2023,$642.13,848736,$651.71,$655.83,$635.20
03/20/2023,$646.33,935589,$646.30,$648.3299,$639.10
03/17/2023,$633.69,1109252,$633.71,$638.40,$626.81
