Date,Close/Last,Volume,Open,High,Low
06/22/2023,$842.43,2347326,$845.09,$848.91,$835.31
06/21/2023,$847.66,2322881,$860.00,$866.00,$844.60
06/20/2023,$868.03,2753723,$862.66,$877.07,$861.0102
06/16/2023,$868.11,6829894,$889.275,$889.95,$865.445
06/15/2023,$883.43,3381353,$884.41,$887.97,$871.02
06/14/2023,$886.18,4352396,$855.90,$888.54,$847.22
06/13/2023,$851.12,3899027,$861.13,$863.26,$841.00
06/12/2023,$855.36,5109788,$811.12,$858.00,$811.12
06/09/2023,$804.62,1924688,$805.80,$817.7489,$803.88
06/08/2023,$804.20,2191717,$794.91,$805.01,$788.78
06/07/2023,$792.63,2895699,$789.82,$805.45,$787.51
06/06/2023,$790.00,3782345,$802.00,$802.00,$776.38
06/05/2023,$802.30,2622196,$809.20,$809.20,$794.48
06/02/2023,$812.00,6281484,$790.64,$823.77,$787.20
06/01/2023,$789.95,8079228,$800.62,$805.79,$785.16
05/31/2023,$807.96,8999766,$794.90,$821.67,$790.13
05/30/2023,$803.34,11691200,$835.12,$921.7799,$798.81
05/26/2023,$812.73,8250038,$747.425,$814.98,$747.02
05/25/2023,$728.80,4926257,$699.41,$732.39,$690.77
05/24/2023,$679.53,2302096,$681.44,$684.31,$676.06
05/23/2023,$686.50,3608802,$690.64,$698.99,$682.02
05/22/2023,$678.37,1779776,$681.40,$684.68,$674.12
05/19/2023,$682.25,2296790,$680.00,$684.95,$678.41
05/18/2023,$677.90,2638889,$656.00,$679.36,$656.00
05/17/2023,$657.47,2413298,$647.35,$660.90,$644.58
05/16/2023,$641.44,1496930,$640.46,$646.91,$638.73
05/15/2023,$639.80,1461357,$631.87,$640.02,$628.47
05/12/2023,$631.15,1194246,$628.38,$632.70,$624.21
05/11/2023,$627.67,1442994,$626.58,$628.48,$617.99
05/10/2023,$626.27,1917544,$622.06,$628.00,$618.27
05/09/2023,$618.51,1699048,$622.73,$624.07,$615.86
05/08/2023,$629.06,1393503,$629.78,$630.73,$620.58
05/05/2023,$630.12,2487634,$615.95,$631.47,$613.37
05/04/2023,$610.16,1768438,$610.00,$613.96,$601.29
05/03/2023,$613.20,1981558,$616.90,$621.95,$612.40
05/02/2023,$612.34,2835748,$625.76,$626.50,$605.02
05/01/2023,$637.95,1702989,$626.50,$638.99,$626.20
04/28/2023,$626.50,1618305,$619.07,$626.78,$614.56
04/27/2023,$618.41,1824988,$616.19,$620.09,$603.23
04/26/2023,$616.19,1717891,$619.97,$623.1256,$613.51
04/25/2023,$622.02,2366980,$633.99,$635.99,$621.74
04/24/2023,$634.54,1233771,$633.64,$638.85,$631.785
04/21/2023,$632.90,1480715,$630.60,$633.80,$621.99
04/20/2023,$633.02,2023927,$627.86,$642.73,$627.14
04/19/2023,$634.50,1906166,$626.79,$636.79,$625.55
04/18/2023,$632.32,1680730,$631.62,$635.50,$627.1331
04/17/2023,$627.36,1320112,$618.61,$628.34,$617.81
04/14/2023,$619.54,1746594,$620.48,$628.03,$615.21
04/13/2023,$624.24,1726497,$619.07,$626.50,$617.11
04/12/2023,$616.70,1411200,$627.34,$627.52,$616.26
04/11/2023,$621.57,1651762,$630.78,$630.88,$620.82
04/10/2023,$627.39,1540174,$618.05,$627.87,$616.4506
04/06/2023,$622.64,1449317,$624.16,$628.4001,$618.97
04/05/2023,$629.01,1690875,$631.14,$631.70,$625.70
04/04/2023,$634.41,1342999,$643.15,$644.235,$632.00
04/03/2023,$642.47,1568246,$639.00,$643.90,$636.44
03/31/2023,$641.54,2209728,$630.54,$642.215,$625.91
03/30/2023,$633.75,2152294,$632.73,$636.05,$629.30
