Date,Close/Last,Volume,Open,High,Low
06/22/2023,$73.95,5372253,$73.24,$74.11,$73.18
06/21/2023,$73.38,4400178,$73.44,$73.88,$73.11
06/20/2023,$73.95,3551727,$74.50,$74.625,$73.94
06/16/2023,$75.22,4899831,$75.42,$75.75,$75.18
06/15/2023,$74.62,4450490,$73.995,$74.735,$73.58
06/14/2023,$72.77,3820955,$73.75,$73.96,$72.52
06/13/2023,$74.13,5108410,$73.95,$74.48,$73.82
06/12/2023,$73.85,6951058,$73.64,$74.05,$73.44
06/09/2023,$74.06,3798287,$73.93,$74.285,$73.56
06/08/2023,$74.25,3584897,$73.14,$74.475,$73.03
06/07/2023,$73.31,5477332,$73.89,$73.89,$72.80
06/06/2023,$73.40,4716537,$73.78,$73.98,$73.03
06/05/2023,$73.20,4444556,$72.87,$73.435,$72.56
06/02/2023,$72.59,8040709,$72.92,$73.42,$72.57
06/01/2023,$72.84,3298656,$72.28,$73.13,$71.89
05/31/2023,$73.08,4819642,$72.34,$73.24,$71.75
05/30/2023,$71.43,4071373,$72.84,$72.86,$71.23
05/26/2023,$72.52,3480507,$72.55,$72.90,$72.31
05/25/2023,$71.79,4390297,$72.04,$72.175,$71.435
05/24/2023,$72.40,6400837,$72.915,$73.0959,$72.37
05/23/2023,$74.07,3991398,$75.17,$75.17,$74.01
05/22/2023,$74.45,2983408,$74.79,$75.32,$74.31
05/19/2023,$74.79,3171017,$74.36,$75.30,$74.27
05/18/2023,$74.21,4144851,$74.91,$75.145,$73.885
05/17/2023,$74.70,3569608,$75.33,$75.35,$73.95
05/16/2023,$75.28,2763367,$75.32,$75.655,$75.03
05/15/2023,$74.99,2442598,$75.19,$75.225,$74.79
05/12/2023,$74.73,2501551,$74.95,$75.56,$74.535
05/11/2023,$74.73,2234124,$74.63,$74.81,$74.235
05/10/2023,$74.87,3283735,$74.68,$75.055,$74.295
05/09/2023,$75.08,2756154,$74.72,$75.31,$74.72
05/08/2023,$75.33,2126193,$75.29,$75.62,$75.02
