Date,Close/Last,Volume,Open,High,Low
06/22/2023,$86.89,10272700,$86.78,$87.315,$85.32
06/21/2023,$86.77,15159910,$87.38,$89.16,$86.62
06/20/2023,$87.93,23382870,$89.83,$90.20,$87.32
06/16/2023,$92.10,25087710,$94.00,$94.29,$91.52
06/15/2023,$92.20,26570480,$91.46,$92.77,$90.60
06/14/2023,$89.36,21519340,$87.97,$90.12,$87.71
06/13/2023,$87.51,16814140,$87.96,$89.22,$87.25
06/12/2023,$85.86,11575890,$86.01,$87.29,$85.63
06/09/2023,$85.50,12903410,$86.06,$86.8377,$85.065
06/08/2023,$86.14,11280950,$85.17,$86.95,$85.17
06/07/2023,$85.28,12886680,$85.72,$86.95,$85.09
06/06/2023,$86.70,18451960,$83.50,$87.06,$83.37
06/05/2023,$84.40,8204016,$83.99,$84.57,$83.24
06/02/2023,$84.27,17616090,$85.08,$86.03,$84.14
06/01/2023,$83.00,23217610,$79.35,$84.00,$79.35
05/31/2023,$79.55,16206280,$79.58,$79.665,$77.77
05/30/2023,$78.67,21209570,$80.12,$80.70,$78.17
05/26/2023,$80.97,16419960,$79.90,$81.5655,$78.40
05/25/2023,$78.78,21811560,$80.59,$80.71,$78.12
05/24/2023,$81.21,17045800,$82.165,$82.60,$80.88
05/23/2023,$82.88,19917790,$84.16,$84.975,$82.70
05/22/2023,$86.10,16951330,$85.67,$87.48,$85.65
05/19/2023,$83.98,21571830,$83.85,$85.20,$83.48
05/18/2023,$85.77,60258610,$90.81,$91.00,$85.00
05/17/2023,$90.68,27670690,$88.46,$91.43,$88.01
05/16/2023,$88.76,18177860,$87.11,$89.3699,$87.06
05/15/2023,$88.34,23691180,$87.13,$88.40,$85.8329
05/12/2023,$85.34,19042790,$86.71,$86.71,$84.76
05/11/2023,$87.89,28104160,$85.43,$88.48,$84.82
05/10/2023,$82.95,16868060,$82.14,$84.50,$81.77
05/09/2023,$82.22,13457350,$80.545,$82.66,$80.15
05/08/2023,$83.31,17392860,$83.63,$83.70,$82.34
05/05/2023,$83.22,17527620,$82.75,$83.38,$82.03
05/04/2023,$82.49,23773830,$82.39,$83.13,$81.80
05/03/2023,$81.48,17759400,$81.305,$82.00,$80.49
05/02/2023,$81.53,20689480,$83.15,$83.28,$80.6538
05/01/2023,$84.16,12909250,$84.15,$85.28,$83.7711
04/28/2023,$84.69,18109260,$84.18,$85.08,$83.87
04/27/2023,$84.47,24506830,$83.07,$84.64,$82.64
04/26/2023,$82.82,24983000,$85.04,$85.22,$82.76
04/25/2023,$82.92,36441350,$85.32,$85.70,$82.212
04/24/2023,$86.89,22757090,$88.40,$88.48,$86.04
04/21/2023,$89.13,23097340,$89.96,$90.19,$88.30
04/20/2023,$90.74,25533870,$93.35,$93.79,$90.05
04/19/2023,$93.49,18985230,$94.60,$94.82,$92.95
04/18/2023,$95.49,20672320,$99.02,$99.17,$95.1805
04/17/2023,$96.42,15714120,$96.74,$97.23,$95.49
04/14/2023,$94.55,14098700,$95.63,$96.12,$93.84
04/13/2023,$96.17,24231740,$95.875,$97.19,$95.095
04/12/2023,$93.84,35516000,$97.82,$98.89,$93.58
04/11/2023,$99.76,19017680,$102.46,$102.54,$99.20
04/10/2023,$101.54,16308330,$100.62,$102.83,$100.59
04/06/2023,$102.74,26849220,$98.53,$103.24,$98.27
04/05/2023,$98.55,20117750,$99.24,$100.45,$97.66
04/04/2023,$100.72,26868410,$98.94,$101.47,$97.26
04/03/2023,$98.39,26888140,$100.89,$101.75,$97.61
03/31/2023,$102.18,28382580,$102.86,$103.60,$101.132
03/30/2023,$103.38,57780700,$101.34,$105.05,$100.50
03/29/2023,$99.92,53695030,$97.59,$101.33,$96.28
03/28/2023,$98.40,118875200,$95.35,$99.51,$92.06
03/27/2023,$86.12,18258300,$87.13,$88.22,$85.50
03/24/2023,$86.90,20349650,$85.87,$88.11,$85.63
03/23/2023,$86.52,26861430,$87.68,$88.38,$85.26
03/22/2023,$83.65,21204670,$84.84,$85.39,$83.51
03/21/2023,$83.70,16529400,$82.46,$84.0875,$82.00
03/20/2023,$81.00,19536500,$80.15,$81.90,$79.48
03/17/2023,$81.67,23711140,$84.00,$84.16,$80.62
03/16/2023,$82.22,22922970,$81.46,$82.48,$80.66
03/15/2023,$81.51,21025310,$81.55,$82.54,$80.15
03/14/2023,$83.85,20126120,$82.86,$83.91,$82.1601
03/13/2023,$82.90,17848340,$83.01,$83.755,$81.97
03/10/2023,$82.96,18123070,$82.64,$84.52,$82.33
03/09/2023,$83.37,24327740,$85.12,$85.69,$82.875
03/08/2023,$86.95,14721540,$87.39,$87.77,$86.45
03/07/2023,$88.73,14514660,$89.52,$90.05,$88.20
03/06/2023,$89.62,16983870,$89.585,$91.3001,$88.03
03/03/2023,$89.70,25834350,$90.11,$90.46,$88.40
03/02/2023,$89.75,25691770,$88.96,$90.919,$87.97
03/01/2023,$89.95,35434900,$92.92,$92.92,$89.73
02/28/2023,$87.79,24597160,$88.46,$89.34,$87.27
02/27/2023,$89.25,25840000,$90.85,$91.24,$88.895
02/24/2023,$89.00,36174520,$90.07,$91.68,$88.03
02/23/2023,$94.16,40482950,$100.10,$100.47,$92.13
02/22/2023,$94.78,24484020,$95.575,$95.89,$93.5546
02/21/2023,$95.10,27172730,$96.50,$97.625,$94.70
02/17/2023,$100.01,18121640,$101.00,$101.09,$99.25
02/16/2023,$103.11,21747090,$102.71,$104.52,$102.03
02/15/2023,$103.08,18910240,$102.39,$103.44,$102.00
02/14/2023,$104.22,12978400,$103.55,$104.48,$101.85
02/13/2023,$104.79,17577830,$105.99,$106.35,$104.15
02/10/2023,$103.65,18776040,$105.80,$106.64,$102.79
02/09/2023,$108.46,16281300,$108.50,$109.81,$107.75
02/08/2023,$105.11,14329490,$107.10,$107.14,$103.55
02/07/2023,$105.50,16861660,$106.84,$107.35,$103.72
02/06/2023,$105.45,15337480,$103.82,$106.28,$103.22
02/03/2023,$106.33,15982160,$108.05,$109.5299,$105.81
02/02/2023,$109.74,23396930,$112.50,$112.525,$107.81
02/01/2023,$112.82,16623000,$111.86,$113.95,$110.15
