Date,Close/Last,Volume,Open,High,Low
06/22/2023,$213.29,5694224,$209.63,$213.9564,$209.09
06/21/2023,$209.59,7971632,$216.52,$217.795,$208.0701
06/20/2023,$216.97,9527235,$208.65,$217.05,$208.61
06/16/2023,$211.76,13672660,$213.54,$213.65,$210.60
06/15/2023,$211.92,7905381,$207.95,$213.325,$207.37
06/14/2023,$209.40,8963393,$207.70,$211.71,$205.02
06/13/2023,$208.98,11698920,$215.50,$216.2326,$207.92
06/12/2023,$213.69,11585180,$216.15,$220.39,$212.14
06/09/2023,$215.31,7679636,$210.69,$218.66,$210.69
06/08/2023,$209.53,5551699,$205.38,$210.38,$204.85
06/07/2023,$205.73,9323896,$214.88,$216.66,$204.78
06/06/2023,$212.85,6795996,$208.55,$213.40,$208.37
06/05/2023,$209.86,7804410,$210.47,$212.32,$207.055
06/02/2023,$213.03,11026890,$212.90,$216.14,$210.43
06/01/2023,$212.90,20907360,$208.22,$215.36,$206.06
05/31/2023,$223.38,19624030,$219.55,$225.00,$217.06
05/30/2023,$218.87,10421050,$219.27,$222.14,$215.73
05/26/2023,$215.44,6933320,$212.80,$216.15,$212.55
05/25/2023,$209.91,6496676,$212.02,$212.33,$208.44
05/24/2023,$209.06,4894012,$206.04,$210.21,$205.42
05/23/2023,$206.64,4256810,$207.74,$209.64,$206.47
05/22/2023,$210.26,3890834,$209.17,$212.82,$209.04
05/19/2023,$210.36,6091604,$212.96,$213.24,$209.93
05/18/2023,$213.32,5165465,$209.50,$213.88,$209.33
05/17/2023,$209.38,5772221,$206.495,$209.49,$204.80
05/16/2023,$204.56,4424764,$201.93,$205.67,$201.75
05/15/2023,$203.33,4518205,$203.75,$205.3999,$202.475
05/12/2023,$201.81,4733643,$203.43,$203.964,$200.13
05/11/2023,$203.47,5366315,$202.91,$203.80,$198.5543
05/10/2023,$204.85,6535555,$204.94,$206.28,$203.04
05/09/2023,$201.18,6996781,$196.78,$203.80,$196.78
05/08/2023,$197.90,4169404,$198.72,$200.4999,$196.08
05/05/2023,$197.59,4284371,$193.95,$198.11,$193.25
05/04/2023,$192.38,4386506,$191.90,$194.56,$190.76
05/03/2023,$192.61,3779878,$194.21,$195.79,$192.56
05/02/2023,$193.84,6051017,$198.02,$198.41,$192.931
05/01/2023,$197.79,2882931,$197.76,$199.05,$197.12
04/28/2023,$198.37,4094567,$196.15,$198.645,$195.27
04/27/2023,$195.94,4794364,$194.17,$197.51,$193.27
04/26/2023,$191.52,4007551,$192.62,$194.37,$190.57
04/25/2023,$190.67,5009990,$193.97,$194.12,$190.63
04/24/2023,$194.92,4449683,$198.45,$198.77,$194.0601
04/21/2023,$199.03,4860102,$197.03,$199.12,$196.465
04/20/2023,$197.51,3619971,$197.18,$200.0828,$196.82
04/19/2023,$198.92,3665103,$196.30,$199.07,$195.73
04/18/2023,$198.50,4679040,$199.08,$200.12,$197.06
04/17/2023,$197.08,5413475,$195.16,$197.52,$195.03
04/14/2023,$194.65,5073782,$191.85,$195.17,$191.19
04/13/2023,$194.02,4716442,$190.45,$194.375,$190.45
04/12/2023,$190.32,5033376,$190.30,$191.885,$189.53
04/11/2023,$188.89,4907689,$189.06,$190.46,$187.31
04/10/2023,$191.49,5263845,$190.59,$192.55,$189.28
04/06/2023,$192.55,6304734,$194.00,$194.07,$189.60
04/05/2023,$195.31,3953707,$198.00,$198.29,$193.73
04/04/2023,$197.20,4659099,$198.15,$198.7025,$196.62
04/03/2023,$196.49,5340770,$198.22,$198.93,$195.53
03/31/2023,$199.78,6634260,$197.49,$200.00,$196.99
03/30/2023,$196.60,6932465,$197.77,$198.17,$195.49
03/29/2023,$196.64,8085228,$193.14,$197.43,$192.88
03/28/2023,$192.30,4899041,$191.18,$192.83,$191.18
03/27/2023,$191.26,7776500,$188.92,$192.11,$188.905
03/24/2023,$190.06,6104529,$186.50,$190.32,$186.09
03/23/2023,$187.44,8685007,$187.40,$190.56,$185.58
03/22/2023,$186.51,6575610,$190.00,$191.44,$186.41
03/21/2023,$188.68,6982001,$185.87,$189.28,$184.89
03/20/2023,$185.25,5513205,$184.21,$185.52,$182.65
03/17/2023,$184.85,10493250,$186.04,$187.66,$184.175
03/16/2023,$187.30,8370712,$183.30,$187.65,$182.98
03/15/2023,$182.91,7716870,$179.16,$183.86,$178.21
03/14/2023,$182.89,10138050,$180.00,$185.31,$179.11
03/13/2023,$175.51,9154758,$171.00,$177.10,$170.00
03/10/2023,$173.18,14108960,$178.50,$179.36,$171.71
03/09/2023,$178.72,7102401,$183.10,$183.8441,$178.54
03/08/2023,$182.95,6749072,$183.30,$184.90,$181.80
03/07/2023,$183.32,9024333,$184.455,$186.16,$183.03
03/06/2023,$183.80,10770250,$185.07,$189.00,$183.625
03/03/2023,$186.43,12087190,$188.07,$189.77,$184.29
03/02/2023,$186.59,37719870,$193.12,$193.91,$185.20
03/01/2023,$167.35,15841220,$162.99,$167.98,$162.98
02/28/2023,$163.61,6912624,$162.53,$164.45,$161.53
02/27/2023,$163.14,6891182,$163.84,$164.77,$162.22
02/24/2023,$162.20,6569915,$160.59,$162.39,$159.655
02/23/2023,$164.12,4679419,$165.29,$165.47,$161.57
02/22/2023,$163.36,4343685,$163.11,$165.00,$162.11
02/21/2023,$161.62,5210800,$163.74,$164.51,$161.45
02/17/2023,$165.17,8084490,$165.03,$167.11,$162.74
02/16/2023,$168.11,7483541,$168.99,$170.37,$167.9573
02/15/2023,$171.10,4998274,$168.85,$171.605,$168.24
02/14/2023,$169.96,8393074,$168.22,$172.79,$167.85
02/13/2023,$171.08,8820334,$168.28,$171.16,$166.95
02/10/2023,$167.03,11273740,$167.655,$169.74,$165.33
02/09/2023,$173.66,11512320,$173.33,$175.38,$172.01
02/08/2023,$169.63,7694533,$170.00,$172.45,$169.2317
02/07/2023,$171.28,6179220,$167.57,$171.73,$166.61
02/06/2023,$169.05,4310553,$168.00,$171.17,$167.35
02/03/2023,$171.04,6481708,$170.02,$175.08,$169.86
02/02/2023,$174.64,10667080,$175.71,$178.84,$172.90
02/01/2023,$171.82,8853905,$167.73,$173.08,$167.00
01/31/2023,$167.97,6421297,$164.28,$168.01,$164.28
01/30/2023,$164.75,8169797,$164.07,$166.44,$163.40
01/27/2023,$164.52,9872265,$165.05,$167.24,$163.60
01/26/2023,$165.09,13354590,$158.19,$165.17,$158.10
01/25/2023,$156.17,9390506,$151.21,$156.40,$149.82
01/24/2023,$154.86,6390216,$154.61,$160.21,$154.50
01/23/2023,$155.87,19922870,$157.35,$157.87,$153.23
01/20/2023,$151.25,10127050,$144.30,$151.525,$144.30
01/19/2023,$146.41,7070135,$143.52,$146.68,$143.16
01/18/2023,$145.45,7812580,$148.86,$149.54,$145.29
01/17/2023,$148.47,9407610,$149.60,$150.49,$146.1001
01/13/2023,$149.51,8378111,$146.20,$149.96,$146.0942
01/12/2023,$149.60,11678020,$147.84,$149.82,$143.94
01/11/2023,$144.90,13595040,$145.28,$147.04,$143.56
01/10/2023,$147.44,6527711,$145.81,$149.28,$145.6039
01/09/2023,$147.10,13679740,$142.59,$149.20,$142.59
01/06/2023,$140.51,9145711,$137.58,$141.65,$135.55
01/05/2023,$136.34,8493489,$137.64,$138.59,$134.24
01/04/2023,$139.59,14322580,$141.22,$141.85,$137.615
01/03/2023,$134.78,8196354,$135.19,$136.95,$133.03
12/30/2022,$132.59,5630216,$130.61,$132.64,$130.36
12/29/2022,$132.54,7628826,$129.70,$132.95,$129.50
12/28/2022,$128.47,6249841,$129.71,$131.14,$128.17
12/27/2022,$130.66,8300844,$128.56,$131.75,$127.65
12/23/2022,$129.44,5821329,$128.73,$129.86,$127.59
