Date,Close/Last,Volume,Open,High,Low
06/22/2023,$236.38,2096034,$238.64,$240.17,$235.19
06/21/2023,$237.71,2771457,$235.78,$238.85,$234.18
06/20/2023,$236.60,5138285,$228.88,$237.26,$228.41
06/16/2023,$241.80,6401216,$245.00,$246.33,$240.94
06/15/2023,$243.51,2826224,$233.99,$244.58,$233.07
06/14/2023,$238.45,2339788,$242.94,$243.83,$237.31
06/13/2023,$241.27,2362769,$237.68,$241.53,$237.50
06/12/2023,$238.05,2185300,$235.37,$238.41,$234.28
06/09/2023,$235.37,1822858,$236.42,$236.645,$233.56
06/08/2023,$235.41,2233164,$237.52,$238.10,$233.715
06/07/2023,$237.52,3303476,$234.60,$238.47,$234.00
06/06/2023,$234.65,2039686,$232.24,$236.44,$231.50
06/05/2023,$233.12,2387158,$235.01,$235.10,$230.95
06/02/2023,$234.62,2231617,$234.56,$235.84,$232.27
06/01/2023,$232.69,2671311,$229.71,$233.78,$228.05
05/31/2023,$229.62,11225180,$226.17,$229.95,$223.61
05/30/2023,$227.18,2718212,$232.99,$234.34,$227.00
05/26/2023,$232.21,2802884,$232.50,$233.80,$230.95
05/25/2023,$230.45,3516081,$228.00,$231.00,$226.69
05/24/2023,$227.71,4689145,$225.24,$228.51,$222.71
05/23/2023,$230.01,3582046,$230.32,$233.65,$229.50
05/22/2023,$231.28,3129833,$228.43,$233.28,$227.75
05/19/2023,$228.33,3268490,$227.53,$229.60,$226.80
05/18/2023,$226.43,3659870,$225.30,$226.939,$224.62
05/17/2023,$225.25,3061523,$225.55,$226.5495,$221.22
05/16/2023,$224.99,2682775,$227.09,$227.09,$224.321
05/15/2023,$226.94,3351672,$227.21,$228.16,$225.34
05/12/2023,$227.34,3526704,$231.38,$231.38,$226.70
05/11/2023,$230.81,3902277,$232.00,$232.00,$229.30
05/10/2023,$233.43,2762558,$236.28,$237.61,$232.20
05/09/2023,$235.16,2688028,$236.88,$237.795,$234.16
05/08/2023,$239.24,2505523,$243.61,$243.70,$237.6187
05/05/2023,$242.44,2061701,$244.64,$245.63,$240.42
05/04/2023,$242.33,2357579,$245.27,$245.40,$241.945
05/03/2023,$245.57,4280695,$247.19,$252.925,$245.145
05/02/2023,$242.79,3295725,$238.41,$244.6783,$237.59
05/01/2023,$241.73,3803467,$239.19,$244.075,$237.77
04/28/2023,$236.91,4696627,$232.53,$239.58,$231.74
04/27/2023,$231.42,6015373,$232.91,$232.9239,$229.09
04/26/2023,$232.47,7402135,$228.71,$233.48,$227.00
04/25/2023,$231.99,10331550,$245.18,$247.65,$230.99
04/24/2023,$254.35,3163241,$254.00,$254.72,$252.66
04/21/2023,$252.81,2447511,$250.26,$252.97,$248.62
04/20/2023,$248.34,3733673,$245.00,$249.65,$241.32
04/19/2023,$254.76,2385120,$254.50,$255.61,$251.52
04/18/2023,$256.14,3187441,$259.54,$261.24,$255.86
04/17/2023,$255.75,2610947,$252.12,$256.29,$251.29
04/14/2023,$251.67,2475153,$253.40,$255.19,$251.1201
04/13/2023,$254.41,1764026,$254.00,$254.88,$251.03
04/12/2023,$249.97,2021374,$253.00,$254.10,$249.235
04/11/2023,$249.88,1525152,$250.34,$252.595,$249.55
04/10/2023,$249.54,2081614,$245.84,$249.73,$244.70
04/06/2023,$246.96,2043040,$248.41,$248.41,$244.585
04/05/2023,$247.70,3084107,$247.40,$250.07,$245.715
04/04/2023,$248.98,2353230,$250.49,$252.98,$248.67
04/03/2023,$250.09,2648736,$250.03,$250.83,$247.08
03/31/2023,$252.04,2754736,$251.26,$252.745,$249.66
03/30/2023,$249.80,2656181,$249.64,$250.575,$248.01
03/29/2023,$247.48,1500100,$248.93,$249.36,$246.17
03/28/2023,$246.85,1582327,$247.58,$247.94,$245.31
03/27/2023,$247.97,1856368,$251.24,$252.86,$247.595
03/24/2023,$248.17,2994606,$245.12,$248.35,$243.10
03/23/2023,$246.93,1605102,$246.85,$249.78,$245.25
03/22/2023,$246.31,3182497,$249.38,$252.80,$246.24
03/21/2023,$248.38,1765903,$246.50,$248.99,$245.855
03/20/2023,$244.80,2213082,$243.00,$245.7243,$242.885
03/17/2023,$242.96,3467152,$248.68,$248.73,$242.165
03/16/2023,$249.34,2684891,$241.72,$249.72,$240.42
03/15/2023,$242.11,2701561,$240.02,$242.31,$238.69
03/14/2023,$244.85,2285048,$243.80,$246.95,$242.04
03/13/2023,$240.39,2386241,$238.94,$243.40,$237.00
03/10/2023,$239.75,3013530,$242.32,$243.38,$237.00
03/09/2023,$243.63,2401362,$248.87,$249.85,$242.76
03/08/2023,$247.76,2972806,$245.29,$249.18,$244.8734
03/07/2023,$245.25,2833183,$250.76,$250.99,$243.77
03/06/2023,$249.85,2140812,$252.16,$254.435,$249.61
03/03/2023,$253.14,1943919,$251.85,$253.675,$250.00
03/02/2023,$249.73,1982254,$244.00,$250.423,$243.25
03/01/2023,$245.36,2885419,$245.71,$248.08,$244.91
02/28/2023,$247.53,3562147,$246.86,$249.14,$244.44
02/27/2023,$247.95,2187998,$251.42,$252.81,$247.55
02/24/2023,$249.12,1810913,$249.00,$250.505,$246.53
02/23/2023,$252.51,2220047,$252.20,$252.99,$249.55
02/22/2023,$250.11,2778110,$251.00,$251.87,$248.38
02/21/2023,$250.79,2622978,$252.00,$253.17,$249.59
02/17/2023,$256.29,1683075,$254.01,$256.51,$252.325
02/16/2023,$255.75,1971862,$254.15,$258.77,$253.80
02/15/2023,$257.11,1867588,$254.43,$258.20,$254.10
02/14/2023,$256.24,2019733,$260.28,$260.28,$255.24
02/13/2023,$259.88,2563325,$259.64,$261.38,$257.55
02/10/2023,$258.84,2805194,$253.87,$259.23,$250.76
02/09/2023,$255.11,3499637,$262.71,$263.62,$254.63
02/08/2023,$261.94,2320029,$264.07,$264.775,$261.02
02/07/2023,$266.00,2457726,$260.15,$267.58,$258.66
02/06/2023,$263.75,2307602,$265.69,$267.72,$261.78
02/03/2023,$269.85,1676759,$268.76,$271.285,$266.38
02/02/2023,$270.68,2520422,$269.00,$273.24,$267.95
02/01/2023,$267.50,3633050,$265.10,$269.37,$263.02
01/31/2023,$264.38,2604442,$263.02,$265.175,$260.42
01/30/2023,$262.75,2156760,$263.52,$266.815,$262.35
01/27/2023,$265.98,2478883,$264.63,$267.1986,$262.82
01/26/2023,$265.86,3916104,$264.00,$265.90,$260.82
01/25/2023,$262.95,4360673,$265.23,$266.945,$261.935
01/24/2023,$271.58,5210134,$273.00,$273.00,$263.42
01/23/2023,$277.00,2111673,$273.95,$279.32,$272.38
01/20/2023,$274.40,3019847,$272.58,$274.42,$268.95
01/19/2023,$270.78,1888030,$269.29,$272.4899,$267.20
01/18/2023,$270.62,2095413,$276.01,$278.79,$269.75
01/17/2023,$274.92,2678147,$274.86,$277.29,$272.58
01/13/2023,$273.62,1747601,$270.50,$274.28,$269.66
01/12/2023,$272.31,1620616,$273.80,$275.04,$269.441
01/11/2023,$273.81,3005177,$268.12,$275.07,$268.00
01/10/2023,$266.89,2691713,$258.61,$268.17,$258.09
01/09/2023,$255.05,2948343,$254.91,$260.85,$253.55
01/06/2023,$252.49,5839483,$256.36,$258.08,$242.48
01/05/2023,$255.23,3686844,$258.99,$261.94,$253.62
01/04/2023,$266.37,2185545,$265.21,$268.29,$263.97
01/03/2023,$262.27,2676804,$267.81,$268.00,$259.06
12/30/2022,$265.42,1508781,$266.70,$267.65,$262.45
12/29/2022,$266.85,1203258,$262.77,$268.53,$261.6961
12/28/2022,$259.34,1381472,$262.48,$265.40,$259.1099
12/27/2022,$260.88,1130367,$259.32,$262.6599,$256.78
12/23/2022,$259.86,1096407,$258.15,$261.54,$257.72
