Date,Close/Last,Volume,Open,High,Low
06/22/2023,$88.49,10915330,$88.44,$89.19,$88.12
06/21/2023,$88.64,17872960,$89.55,$89.67,$88.11
06/20/2023,$89.75,14939190,$90.29,$90.78,$89.74
06/16/2023,$91.32,22683390,$92.88,$92.97,$90.86
06/15/2023,$92.94,13354610,$92.06,$93.52,$91.61
06/14/2023,$92.45,15877380,$94.26,$94.52,$91.92
06/13/2023,$93.85,12964430,$94.12,$94.44,$93.44
06/12/2023,$93.14,12357610,$92.25,$93.225,$91.77
06/09/2023,$91.93,9634420,$92.78,$92.92,$91.55
06/08/2023,$92.53,9030165,$92.52,$92.68,$91.30
06/07/2023,$92.52,11082430,$92.78,$93.08,$91.86
06/06/2023,$92.16,12109080,$91.10,$92.51,$91.02
06/05/2023,$91.00,18506710,$91.20,$91.76,$89.44
06/02/2023,$90.77,14350250,$89.63,$91.34,$89.60
06/01/2023,$88.59,11993170,$88.40,$89.055,$87.11
05/31/2023,$87.96,11440580,$87.58,$88.17,$87.15
05/30/2023,$87.82,14800730,$88.97,$88.97,$87.01
05/26/2023,$88.29,12892700,$88.49,$89.24,$88.10
05/25/2023,$88.14,13605760,$89.56,$89.56,$87.79
05/24/2023,$89.07,15350770,$89.44,$89.49,$88.41
05/23/2023,$89.82,14778700,$91.10,$92.03,$89.805
05/22/2023,$91.82,14150640,$91.33,$91.935,$89.89
05/19/2023,$91.35,16429040,$93.00,$93.00,$91.315
05/18/2023,$93.76,15014820,$92.845,$94.24,$92.46
05/17/2023,$92.77,12461590,$91.02,$93.05,$90.85
05/16/2023,$90.98,17013310,$92.04,$92.415,$90.78
05/15/2023,$92.86,16792050,$91.54,$92.87,$90.70
05/12/2023,$91.99,21837450,$92.34,$92.88,$91.24
05/11/2023,$92.31,57127240,$94.80,$95.11,$91.88
05/10/2023,$101.14,19525150,$103.00,$103.25,$100.04
05/09/2023,$102.18,6829880,$102.91,$102.98,$102.09
05/08/2023,$102.97,10810140,$101.70,$103.91,$101.69
05/05/2023,$100.52,9300109,$98.59,$100.8461,$98.11
05/04/2023,$97.45,13260720,$99.54,$99.54,$96.61
05/03/2023,$100.86,7772064,$101.06,$102.58,$100.64
05/02/2023,$100.60,6955902,$101.33,$101.695,$99.62
05/01/2023,$102.21,6909535,$102.405,$102.6087,$101.605
04/28/2023,$102.50,11329690,$99.37,$102.56,$99.08
04/27/2023,$99.93,8166466,$97.13,$100.065,$96.71
04/26/2023,$96.61,8634531,$97.84,$98.48,$96.455
04/25/2023,$98.01,6511394,$99.375,$99.71,$98.01
04/24/2023,$99.68,8540571,$100.145,$100.735,$98.67
04/21/2023,$99.57,9467979,$98.16,$99.72,$97.72
04/20/2023,$98.07,7762736,$97.75,$98.58,$97.391
04/19/2023,$98.75,11523310,$99.78,$99.83,$98.355
04/18/2023,$100.93,8180148,$100.61,$101.15,$99.595
04/17/2023,$100.30,6705269,$99.57,$100.57,$99.15
04/14/2023,$99.90,7337250,$100.50,$100.86,$98.93
04/13/2023,$100.84,8744977,$98.51,$101.07,$98.51
04/12/2023,$97.94,9289196,$101.25,$102.22,$97.70
04/11/2023,$100.42,7504624,$101.16,$101.91,$100.29
04/10/2023,$100.81,8016576,$99.30,$100.81,$98.90
04/06/2023,$99.97,7042486,$99.44,$100.32,$98.55
04/05/2023,$99.91,7747230,$99.70,$100.18,$98.632
04/04/2023,$99.57,6794168,$100.30,$100.42,$98.76
04/03/2023,$99.76,7313201,$100.21,$100.43,$99.27
03/31/2023,$100.13,8919965,$98.89,$100.20,$98.50
03/30/2023,$98.10,7669482,$98.73,$98.92,$97.67
03/29/2023,$96.87,5889123,$96.08,$96.91,$95.35
03/28/2023,$94.82,5426053,$95.51,$96.00,$94.59
03/27/2023,$95.62,7487900,$94.78,$96.02,$94.38
03/24/2023,$94.08,9544154,$94.81,$95.00,$93.02
03/23/2023,$95.83,9527009,$95.28,$97.02,$94.76
03/22/2023,$94.90,8811105,$97.45,$97.93,$94.82
03/21/2023,$96.54,7285766,$95.17,$96.85,$95.17
03/20/2023,$94.22,6657152,$93.43,$94.92,$93.00
03/17/2023,$93.20,12943190,$94.05,$94.27,$92.91
03/16/2023,$94.29,9946678,$92.67,$94.5599,$91.89
03/15/2023,$93.10,9543836,$91.63,$93.3557,$91.41
03/14/2023,$93.36,10323630,$94.00,$94.30,$92.34
03/13/2023,$92.60,11915320,$91.885,$94.0242,$90.46
03/10/2023,$93.57,13978850,$95.60,$95.90,$92.83
03/09/2023,$96.14,8275586,$99.45,$100.05,$95.92
03/08/2023,$99.30,5668738,$99.00,$99.62,$98.30
03/07/2023,$99.06,6951340,$100.40,$100.94,$98.89
03/06/2023,$100.66,6773261,$101.61,$102.695,$100.49
03/03/2023,$101.14,7434264,$99.67,$101.18,$98.88
03/02/2023,$98.92,7783130,$97.74,$99.29,$97.42
03/01/2023,$98.54,7898251,$99.19,$99.63,$98.10
02/28/2023,$99.61,8233743,$100.45,$100.75,$99.57
02/27/2023,$100.45,6641212,$100.73,$101.47,$100.06
02/24/2023,$100.30,8523000,$99.53,$100.43,$98.96
02/23/2023,$101.73,10974750,$101.45,$102.0499,$99.605
02/22/2023,$101.68,9885101,$101.33,$102.56,$101.09
02/21/2023,$102.09,10648210,$103.55,$103.73,$101.83
02/17/2023,$105.22,9492184,$105.03,$105.80,$103.88
02/16/2023,$105.83,9479922,$107.55,$108.02,$105.70
02/15/2023,$109.24,8163490,$107.09,$109.27,$106.70
02/14/2023,$107.66,10768100,$106.82,$108.44,$105.8205
02/13/2023,$107.66,12341480,$108.10,$108.2874,$106.55
02/10/2023,$108.06,15565990,$108.96,$109.74,$107.21
02/09/2023,$110.36,46137150,$118.04,$118.18,$109.8089
02/08/2023,$111.78,27719920,$112.20,$113.33,$110.29
02/07/2023,$111.63,10843980,$109.295,$112.12,$108.86
02/06/2023,$109.87,11956540,$110.17,$110.43,$108.53
02/03/2023,$110.71,12472480,$111.47,$113.1412,$110.37
02/02/2023,$113.21,13093210,$110.67,$113.53,$109.6901
02/01/2023,$109.39,9975481,$108.50,$109.94,$106.90
01/31/2023,$108.49,8251663,$107.58,$108.715,$107.45
01/30/2023,$107.59,8548547,$108.26,$108.97,$107.48
01/27/2023,$109.54,10249680,$109.26,$110.5823,$109.16
01/26/2023,$109.70,9204417,$108.17,$109.76,$107.5701
01/25/2023,$108.12,10008040,$104.96,$108.16,$104.18
01/24/2023,$106.00,8606723,$105.39,$108.44,$102.00
01/23/2023,$105.69,11479080,$103.29,$105.9541,$102.9209
01/20/2023,$103.48,14549880,$100.34,$103.5865,$99.3015
01/19/2023,$99.08,10973550,$98.12,$99.45,$97.12
01/18/2023,$99.04,11384540,$100.28,$101.1299,$98.7249
01/17/2023,$99.91,14914200,$100.32,$100.99,$98.995
01/13/2023,$99.40,12230200,$99.38,$99.60,$98.01
01/12/2023,$99.81,19764320,$98.50,$100.63,$97.5705
01/11/2023,$96.33,8757251,$95.92,$96.55,$95.045
01/10/2023,$95.56,6914633,$94.28,$95.64,$93.82
01/09/2023,$94.77,11675840,$94.43,$95.70,$93.45
01/06/2023,$93.92,9828145,$92.66,$94.69,$91.3211
01/05/2023,$91.92,11622620,$91.66,$92.48,$90.51
01/04/2023,$91.98,14957210,$90.00,$92.745,$89.36
01/03/2023,$88.97,14997140,$88.98,$89.9716,$87.83
12/30/2022,$86.88,23230970,$85.73,$87.12,$85.225
12/29/2022,$87.18,13045070,$85.25,$88.242,$84.97
12/28/2022,$84.17,12399510,$86.08,$86.69,$84.07
12/27/2022,$86.37,11561450,$87.42,$87.94,$85.96
12/23/2022,$88.01,11171610,$86.06,$88.07,$85.77
