Date,Close/Last,Volume,Open,High,Low
06/22/2023,$123.15,26952250,$120.00,$123.24,$118.83
06/21/2023,$120.55,30306340,$122.40,$122.66,$120.10
06/20/2023,$123.10,26097490,$122.93,$124.57,$122.14
06/16/2023,$123.53,45535550,$125.93,$126.108,$123.28
06/15/2023,$125.09,35246270,$123.14,$125.46,$122.40
06/14/2023,$123.67,30592300,$123.10,$124.05,$121.45
06/13/2023,$123.83,22278310,$124.98,$125.16,$123.18
06/12/2023,$123.64,28338740,$122.785,$124.05,$121.66
06/09/2023,$122.23,23778320,$122.25,$123.755,$121.91
06/08/2023,$122.14,29389170,$122.225,$123.225,$121.24
06/07/2023,$122.50,52538990,$126.97,$129.04,$122.12
06/06/2023,$127.31,26638300,$126.01,$128.29,$125.36
06/05/2023,$126.01,32305530,$124.01,$127.43,$123.84
06/02/2023,$124.67,26980150,$123.99,$126.15,$123.76
06/01/2023,$123.72,30772680,$122.815,$124.42,$122.62
05/31/2023,$122.87,37325790,$122.75,$124.0601,$122.50
05/30/2023,$123.67,35076660,$125.64,$125.66,$122.00
05/26/2023,$124.61,35635940,$123.17,$125.26,$122.45
05/25/2023,$123.48,42316990,$124.52,$125.32,$121.96
05/24/2023,$120.90,34182640,$121.12,$121.91,$119.86
05/23/2023,$122.56,34046250,$124.16,$124.625,$122.2104
05/22/2023,$125.05,35253030,$122.94,$126.43,$122.74
05/19/2023,$122.76,41353450,$123.55,$125.97,$122.15
05/18/2023,$122.83,35234230,$120.95,$123.31,$120.83
05/17/2023,$120.84,33323590,$119.61,$121.67,$118.89
05/16/2023,$119.51,45035560,$116.49,$120.75,$116.43
05/15/2023,$116.51,36266770,$116.11,$118.48,$116.01
05/12/2023,$117.51,41102330,$116.68,$118.03,$116.11
05/11/2023,$116.57,78900030,$115.395,$117.92,$114.41
05/10/2023,$111.75,63153370,$107.97,$112.94,$107.93
05/09/2023,$107.35,36360140,$108.39,$110.15,$107.19
05/08/2023,$107.77,26511450,$105.18,$107.96,$105.16
05/05/2023,$105.57,26639250,$104.82,$105.88,$104.11
05/04/2023,$104.69,23419510,$105.485,$105.60,$103.97
05/03/2023,$105.41,21795410,$105.53,$107.49,$104.96
05/02/2023,$105.32,30997250,$107.14,$107.20,$103.71
05/01/2023,$107.20,26681680,$106.84,$107.99,$106.82
04/28/2023,$107.34,36139850,$107.04,$107.35,$105.09
04/27/2023,$107.59,50089190,$104.45,$108.37,$103.54
04/26/2023,$103.71,53347560,$104.92,$106.35,$102.63
04/25/2023,$103.85,46664100,$105.825,$106.69,$103.84
04/24/2023,$105.97,23542830,$105.49,$106.63,$104.70
04/21/2023,$105.41,25800080,$105.47,$106.00,$104.78
04/20/2023,$105.29,27820790,$103.91,$106.25,$103.8684
04/19/2023,$104.18,20905680,$103.58,$104.98,$103.07
04/18/2023,$104.50,26596450,$106.49,$106.54,$104.07
04/17/2023,$105.97,37571220,$104.658,$106.16,$104.52
04/14/2023,$108.87,26578000,$106.89,$108.94,$106.84
04/13/2023,$107.43,24843580,$105.84,$107.49,$105.84
04/12/2023,$104.64,24370270,$106.58,$106.75,$104.34
04/11/2023,$105.35,26311800,$106.55,$106.73,$104.68
04/10/2023,$106.44,27067360,$106.98,$107.59,$105.12
04/06/2023,$108.42,48711480,$105.26,$109.17,$104.33
04/05/2023,$104.47,28290500,$105.78,$106.10,$103.66
04/04/2023,$104.72,24420080,$104.33,$105.58,$104.04
04/03/2023,$104.36,25035400,$102.39,$104.53,$101.93
03/31/2023,$103.73,36863370,$101.30,$103.89,$101.04
03/30/2023,$100.89,33086180,$100.91,$101.155,$99.78
03/29/2023,$101.39,28779570,$102.28,$102.49,$100.65
03/28/2023,$101.03,32057870,$102.44,$102.45,$99.74
