Date,Close/Last,Volume,Open,High,Low
06/22/2023,$123.87,20781890,$120.66,$123.935,$119.60
06/21/2023,$121.26,22612000,$123.235,$123.41,$120.86
06/20/2023,$123.85,22698030,$123.535,$125.175,$122.83
06/16/2023,$124.06,56699200,$126.70,$126.70,$123.79
06/15/2023,$125.79,24517070,$123.88,$126.16,$123.14
06/14/2023,$124.38,24659620,$123.80,$124.79,$122.16
06/13/2023,$124.43,19287650,$125.65,$125.86,$123.845
06/12/2023,$124.35,22289630,$123.395,$124.75,$122.35
06/09/2023,$122.87,20313680,$122.56,$124.285,$122.42
06/08/2023,$122.67,24815000,$122.585,$123.73,$122.01
06/07/2023,$122.94,34179350,$127.575,$129.55,$122.63
06/06/2023,$127.91,19450130,$126.60,$128.88,$125.97
06/05/2023,$126.63,22672520,$124.61,$127.99,$124.38
06/02/2023,$125.23,19367450,$124.49,$126.745,$124.35
06/01/2023,$124.37,25017670,$123.50,$125.04,$123.30
05/31/2023,$123.37,41548760,$123.70,$124.90,$123.10
05/30/2023,$124.64,27230730,$126.29,$126.38,$122.89
05/26/2023,$125.43,25169040,$124.065,$126.00,$123.29
05/25/2023,$124.35,33812730,$125.21,$125.98,$122.90
05/24/2023,$121.64,23087930,$121.88,$122.7499,$120.75
05/23/2023,$123.29,24477950,$124.93,$125.42,$123.05
05/22/2023,$125.87,29760240,$123.51,$127.05,$123.45
05/19/2023,$123.25,30268860,$124.20,$126.479,$122.72
05/18/2023,$123.52,27014470,$121.56,$123.90,$121.49
05/17/2023,$121.48,26659560,$120.18,$122.28,$119.46
05/16/2023,$120.09,32370110,$116.83,$121.20,$116.83
05/15/2023,$116.96,22107870,$116.49,$118.795,$116.48
05/12/2023,$117.92,31293780,$117.00,$118.26,$116.55
05/11/2023,$116.90,57115080,$115.86,$118.44,$114.9301
05/10/2023,$112.28,47533460,$108.55,$113.51,$108.48
05/09/2023,$107.94,24782440,$108.78,$110.595,$107.725
05/08/2023,$108.24,17266020,$105.795,$108.42,$105.79
05/05/2023,$106.215,20710630,$105.32,$106.44,$104.7386
05/04/2023,$105.21,19780640,$106.16,$106.30,$104.70
05/03/2023,$106.12,17116330,$106.22,$108.13,$105.62
05/02/2023,$105.98,20343120,$107.66,$107.73,$104.50
05/01/2023,$107.71,20926260,$107.72,$108.68,$107.50
04/28/2023,$108.22,23957870,$107.80,$108.29,$106.04
04/27/2023,$108.37,38235220,$105.23,$109.15,$104.42
04/26/2023,$104.45,37068170,$105.56,$107.02,$103.27
04/25/2023,$104.61,31408120,$106.61,$107.44,$104.56
04/24/2023,$106.78,21410910,$106.05,$107.32,$105.36
04/21/2023,$105.91,22379020,$106.09,$106.64,$105.485
04/20/2023,$105.90,22515330,$104.65,$106.8875,$104.64
04/19/2023,$105.02,16732020,$104.215,$105.725,$103.80
04/18/2023,$105.12,17641370,$107.00,$107.05,$104.78
04/17/2023,$106.42,29043440,$105.43,$106.71,$105.32
04/14/2023,$109.46,20758690,$107.69,$109.58,$107.59
04/13/2023,$108.19,21650750,$106.47,$108.265,$106.44
04/12/2023,$105.22,22761570,$107.39,$107.5874,$104.97
04/11/2023,$106.12,18721280,$106.92,$107.22,$105.28
04/10/2023,$106.95,19741520,$107.39,$107.97,$105.60
