Date,Close/Last,Volume,Open,High,Low
06/22/2023,$301.18,3052180,$301.50,$302.835,$299.60
06/21/2023,$300.70,2713378,$302.87,$303.5663,$300.1764
06/20/2023,$301.41,3371247,$299.77,$302.75,$298.23
06/16/2023,$300.38,10809350,$304.34,$305.98,$300.14
06/15/2023,$302.02,4109746,$300.84,$303.43,$299.5801
06/14/2023,$299.71,4175958,$300.99,$302.5502,$295.625
06/13/2023,$300.08,4043383,$302.40,$304.12,$298.67
06/12/2023,$300.86,4457363,$298.40,$302.61,$297.65
06/09/2023,$297.35,3486443,$300.98,$301.43,$296.1001
06/08/2023,$301.09,3758904,$302.16,$305.45,$300.79
06/07/2023,$301.70,4842660,$297.31,$302.20,$297.105
06/06/2023,$296.00,2855434,$291.82,$296.92,$291.65
06/05/2023,$293.10,3028785,$295.62,$295.72,$291.365
06/02/2023,$295.94,4515554,$290.65,$296.21,$289.72
06/01/2023,$288.39,4305103,$284.05,$289.22,$279.98
05/31/2023,$283.45,18288780,$289.59,$290.00,$281.96
05/30/2023,$292.40,5193255,$293.28,$294.45,$288.95
05/26/2023,$292.83,4626113,$287.00,$293.30,$285.69
05/25/2023,$286.75,5355858,$291.79,$291.79,$286.06
05/24/2023,$291.10,4978212,$297.37,$297.525,$290.18
05/23/2023,$294.94,5352185,$289.28,$297.774,$289.28
05/22/2023,$290.66,3736199,$290.73,$292.99,$288.08
05/19/2023,$290.88,4470591,$295.76,$295.76,$289.95
05/18/2023,$295.16,4546983,$292.65,$295.93,$291.60
05/17/2023,$292.39,7956888,$282.15,$294.05,$281.21
05/16/2023,$282.33,12365690,$281.75,$286.09,$277.09
05/15/2023,$288.54,5353632,$289.92,$290.92,$286.94
05/12/2023,$290.47,3438271,$288.00,$290.97,$287.45
05/11/2023,$287.69,3859744,$288.74,$289.45,$285.02
05/10/2023,$289.03,3571029,$291.71,$293.57,$285.92
05/09/2023,$290.58,2569969,$286.17,$291.06,$285.76
