Date,Close/Last,Volume,Open,High,Low
06/22/2023,$165.62,5486186,$163.90,$165.72,$163.79
06/21/2023,$163.88,7177549,$163.58,$164.92,$162.69
06/20/2023,$164.13,7996117,$164.26,$165.31,$163.81
06/16/2023,$164.23,13426610,$164.48,$164.99,$163.87
06/15/2023,$163.73,7138314,$162.05,$163.91,$161.43
06/14/2023,$161.56,6699139,$161.60,$162.08,$160.98
06/13/2023,$160.74,6066788,$159.73,$160.84,$159.15
06/12/2023,$159.90,6511261,$160.00,$160.25,$158.73
06/09/2023,$160.01,6264779,$160.42,$160.725,$159.465
06/08/2023,$160.26,5818952,$158.50,$160.42,$157.82
06/07/2023,$158.52,6504285,$158.10,$158.80,$157.44
06/06/2023,$158.18,5073642,$159.58,$159.61,$157.40
06/05/2023,$158.32,6430453,$156.75,$158.64,$156.97
06/02/2023,$156.97,7659721,$154.72,$157.31,$154.09
06/01/2023,$154.54,7901348,$154.54,$155.04,$153.15
05/31/2023,$155.06,11324590,$154.695,$155.69,$153.85
05/30/2023,$154.37,5593080,$153.97,$155.38,$153.32
05/26/2023,$154.35,6845396,$154.69,$155.275,$154.20
05/25/2023,$154.41,6886056,$156.05,$156.29,$153.72
05/24/2023,$156.66,5015148,$157.08,$157.14,$155.92
05/23/2023,$156.81,5793009,$157.10,$158.27,$156.37
05/22/2023,$156.87,5675927,$158.00,$159.14,$156.78
05/19/2023,$158.91,6527141,$158.59,$159.9344,$158.14
05/18/2023,$158.48,5172966,$158.66,$158.93,$157.56
05/17/2023,$158.99,6840687,$159.79,$160.055,$157.77
05/16/2023,$159.34,5599505,$159.06,$160.25,$158.53
05/15/2023,$159.55,5104486,$160.80,$161.03,$158.94
05/12/2023,$160.78,3904327,$161.36,$161.56,$160.01
05/11/2023,$160.99,5867620,$161.83,$162.19,$159.3901
05/10/2023,$161.65,6756629,$161.20,$161.97,$160.06
05/09/2023,$161.05,5520642,$161.75,$162.13,$160.79
05/08/2023,$162.31,4994929,$161.99,$162.57,$161.34
05/05/2023,$162.68,5194461,$162.84,$163.13,$161.69
05/04/2023,$162.13,5127992,$162.68,$162.90,$161.25
05/03/2023,$162.87,5937170,$165.55,$166.18,$162.51
05/02/2023,$165.03,7541724,$164.34,$165.48,$163.555
05/01/2023,$163.60,4893426,$163.60,$164.298,$162.24
04/28/2023,$163.70,6024864,$162.81,$163.76,$162.5566
04/27/2023,$163.00,5739700,$162.90,$163.4067,$162.13
04/26/2023,$162.62,5518174,$164.09,$164.39,$162.24
04/25/2023,$165.18,6263103,$164.31,$165.35,$164.155
04/24/2023,$163.68,5278892,$162.69,$163.805,$161.87
04/21/2023,$162.69,7014214,$164.44,$164.97,$161.97
04/20/2023,$163.58,9498768,$162.43,$163.82,$160.96
04/19/2023,$162.53,6752006,$161.99,$162.68,$161.17
04/18/2023,$161.01,14571490,$164.25,$164.69,$159.65
04/17/2023,$165.67,8046428,$165.735,$166.24,$164.94
04/14/2023,$165.84,7225127,$165.97,$166.115,$164.06
04/13/2023,$166.11,5640617,$164.18,$166.33,$163.805
04/12/2023,$163.92,5764240,$163.94,$164.84,$163.10
04/11/2023,$164.27,5903824,$164.42,$165.28,$164.0401
04/10/2023,$164.32,5353951,$164.63,$164.84,$163.64
04/06/2023,$165.15,9615407,$165.99,$167.23,$164.80
04/05/2023,$165.61,16704180,$164.37,$165.66,$162.76
04/04/2023,$158.49,8314527,$156.97,$158.97,$156.59
04/03/2023,$156.85,6841888,$154.95,$157.01,$153.94
03/31/2023,$155.00,9890047,$153.79,$155.19,$153.24
03/30/2023,$153.43,4555905,$153.58,$153.80,$152.81
03/29/2023,$153.31,6012030,$152.24,$153.38,$152.07
03/28/2023,$151.82,6115293,$152.39,$153.45,$151.725
03/27/2023,$153.30,6772282,$154.20,$154.54,$153.11
03/24/2023,$152.65,5696845,$151.48,$152.76,$150.83
03/23/2023,$151.13,9051510,$151.175,$151.69,$150.11
03/22/2023,$151.05,7943526,$153.85,$154.06,$151.03
03/21/2023,$153.89,8376843,$154.00,$154.13,$152.17
03/20/2023,$153.89,7128958,$152.47,$154.075,$152.38
03/17/2023,$152.38,20540670,$154.48,$154.9499,$152.30
03/16/2023,$154.03,7606079,$153.45,$154.365,$152.605
03/15/2023,$154.35,7757686,$152.84,$154.89,$152.5259
03/14/2023,$153.92,8421189,$153.28,$154.03,$151.90
03/13/2023,$153.06,10799580,$152.09,$155.91,$151.57
03/10/2023,$151.61,8504316,$151.86,$153.49,$151.10
03/09/2023,$151.24,7439367,$153.46,$153.60,$150.71
03/08/2023,$152.96,6230522,$153.98,$154.1955,$152.48
03/07/2023,$154.09,7457731,$156.09,$156.25,$153.35
03/06/2023,$155.56,8148207,$154.66,$155.73,$154.565
03/03/2023,$154.02,5747158,$153.37,$154.12,$152.84
