Date,Close/Last,Volume,Open,High,Low
06/22/2023,$139.58,10076330,$142.31,$142.60,$138.95
06/21/2023,$142.32,9926459,$142.90,$144.02,$141.691
06/20/2023,$142.53,8431008,$142.61,$143.00,$141.04
06/16/2023,$143.26,13813510,$143.05,$143.965,$142.50
06/15/2023,$143.09,9343096,$140.59,$143.40,$140.03
06/14/2023,$141.49,9068729,$143.00,$143.61,$140.70
06/13/2023,$142.02,7701567,$140.48,$142.87,$140.14
06/12/2023,$141.00,7600196,$141.07,$141.32,$139.76
06/09/2023,$141.01,7253946,$140.35,$141.80,$140.21
06/08/2023,$140.73,7370043,$140.67,$140.89,$139.4807
06/07/2023,$140.69,9281389,$139.55,$141.27,$138.83
06/06/2023,$139.34,9329541,$138.68,$140.10,$138.2066
06/05/2023,$139.09,8511902,$140.11,$139.31,$138.13
06/02/2023,$140.47,12922470,$139.56,$141.48,$139.34
06/01/2023,$137.58,12248090,$136.52,$138.23,$135.445
05/31/2023,$135.71,14219910,$136.73,$136.84,$134.4044
05/30/2023,$137.46,7399867,$136.80,$137.72,$136.02
05/26/2023,$136.94,8579941,$136.11,$137.60,$135.63
05/25/2023,$135.67,8472505,$134.82,$136.27,$134.58
05/24/2023,$135.34,8577997,$135.40,$136.35,$135.08
05/23/2023,$136.59,9514897,$137.54,$139.03,$136.455
05/22/2023,$138.03,11402480,$141.00,$141.64,$137.66
05/19/2023,$139.18,13492240,$139.79,$140.49,$138.125
05/18/2023,$139.50,10999610,$138.27,$139.73,$137.76
05/17/2023,$138.45,12711520,$135.90,$138.5899,$135.46
05/16/2023,$134.32,6483267,$135.46,$135.9382,$133.96
05/15/2023,$135.23,7639451,$134.27,$135.67,$133.96
05/12/2023,$134.10,9988598,$136.82,$136.99,$133.13
05/11/2023,$136.05,7057277,$135.00,$136.81,$134.90
05/10/2023,$136.48,8133416,$137.95,$138.06,$134.87
05/09/2023,$136.41,7343573,$135.93,$136.95,$135.21
05/08/2023,$137.07,7484872,$137.49,$137.97,$136.475
05/05/2023,$136.74,11261390,$136.44,$137.88,$135.912
05/04/2023,$134.12,17089160,$134.96,$135.72,$131.81
05/03/2023,$135.98,12930910,$138.44,$138.6687,$135.76
05/02/2023,$138.92,14113450,$141.40,$142.41,$138.43
05/01/2023,$141.20,20415760,$142.26,$143.37,$140.83
04/28/2023,$138.24,9887262,$136.56,$138.32,$135.67
04/27/2023,$137.05,9041092,$136.00,$137.91,$135.66
04/26/2023,$135.23,14416150,$137.62,$137.8093,$134.00
04/25/2023,$137.67,10629330,$139.60,$139.96,$137.625
04/24/2023,$140.73,7567666,$140.455,$141.10,$140.04
04/21/2023,$140.54,11842540,$139.74,$141.11,$138.78
04/20/2023,$140.81,10586250,$139.91,$141.43,$139.84
04/19/2023,$141.22,9158112,$141.23,$141.50,$140.40
04/18/2023,$141.40,13760140,$140.27,$141.78,$139.03
04/17/2023,$139.83,16050490,$139.95,$140.06,$137.66
04/14/2023,$138.73,43931330,$135.15,$139.12,$134.9001
04/13/2023,$128.99,12450240,$128.46,$129.04,$126.83
04/12/2023,$128.50,11821000,$129.18,$130.43,$128.0603
04/11/2023,$128.52,10516270,$128.30,$128.94,$127.54
04/10/2023,$127.89,9477292,$126.54,$128.23,$126.22
04/06/2023,$127.47,8760220,$127.00,$128.08,$126.8553
04/05/2023,$127.61,9614692,$126.80,$128.15,$126.46
04/04/2023,$128.42,11579920,$130.50,$130.59,$127.41
04/03/2023,$130.16,11775390,$129.91,$131.44,$129.41
03/31/2023,$130.31,13105220,$129.66,$130.34,$128.8514
03/30/2023,$128.75,12134680,$129.95,$130.12,$127.65
03/29/2023,$129.14,14595260,$130.10,$130.22,$127.77
03/28/2023,$128.88,10820470,$128.71,$129.3417,$127.744
03/27/2023,$128.49,18853940,$126.79,$129.38,$126.29
03/24/2023,$124.91,22326920,$125.63,$125.68,$123.11
03/23/2023,$126.84,16677640,$127.90,$129.53,$126.02
03/22/2023,$127.18,17250170,$130.56,$130.655,$127.08
03/21/2023,$130.55,17807810,$130.59,$131.73,$130.19
03/20/2023,$127.14,22875510,$126.99,$129.47,$126.01
03/17/2023,$125.81,38395980,$128.38,$128.48,$125.45
03/16/2023,$130.75,24570590,$128.01,$131.95,$126.02
03/15/2023,$128.26,34280610,$130.98,$130.99,$126.73
03/14/2023,$134.62,29648120,$135.28,$135.53,$131.29
03/13/2023,$131.25,42901130,$131.21,$133.88,$129.41
03/10/2023,$133.65,37599660,$128.96,$135.26,$127.82
03/09/2023,$130.34,25888100,$136.76,$137.35,$129.215
03/08/2023,$137.80,10002550,$138.00,$138.59,$136.885
03/07/2023,$138.62,11747620,$142.01,$142.31,$137.81
03/06/2023,$142.82,9261255,$143.44,$144.04,$142.66
03/03/2023,$143.66,9513063,$141.51,$143.74,$141.08
