Date,Close/Last,Volume,Open,High,Low
06/22/2023,$61.85,15194160,$61.81,$62.10,$61.585
06/21/2023,$61.43,13948670,$61.31,$61.7199,$60.98
06/20/2023,$61.26,13973440,$61.59,$61.96,$61.24
06/16/2023,$61.67,26737980,$61.60,$62.17,$61.48
06/15/2023,$61.23,15271390,$60.61,$61.2985,$60.34
06/14/2023,$60.86,14099680,$60.73,$61.08,$60.60
06/13/2023,$60.45,13397780,$60.21,$60.67,$60.04
06/12/2023,$60.21,14220960,$60.59,$60.65,$60.02
06/09/2023,$60.47,12582570,$60.27,$60.6667,$60.17
06/08/2023,$60.37,15589980,$60.13,$60.405,$59.98
06/07/2023,$60.22,16817910,$60.01,$60.355,$59.82
06/06/2023,$60.31,10943520,$60.95,$60.99,$60.1244
06/05/2023,$60.75,12915650,$61.00,$61.44,$60.5548
06/02/2023,$61.16,15259850,$60.27,$61.32,$60.08
06/01/2023,$60.00,13402680,$59.94,$60.165,$59.77
05/31/2023,$59.66,59432170,$59.92,$60.28,$59.365
05/30/2023,$59.78,15634210,$60.09,$60.195,$59.52
05/26/2023,$60.26,12570280,$60.45,$60.64,$60.11
05/25/2023,$60.41,14463630,$60.47,$60.73,$60.15
05/24/2023,$60.88,11090130,$61.38,$61.43,$60.72
05/23/2023,$61.40,13932720,$61.51,$61.67,$61.17
05/22/2023,$61.51,15055370,$62.785,$62.865,$61.44
05/19/2023,$62.83,14251360,$63.04,$63.10,$62.605
05/18/2023,$62.80,13595050,$63.01,$63.04,$62.57
05/17/2023,$63.15,11582950,$63.40,$63.42,$62.73
05/16/2023,$63.22,9130361,$63.895,$63.895,$63.16
05/15/2023,$63.94,8149993,$64.22,$64.25,$63.71
05/12/2023,$64.11,8740752,$63.86,$64.19,$63.70
05/11/2023,$63.86,9581525,$63.58,$63.93,$63.01
05/10/2023,$63.50,10134030,$63.32,$63.64,$62.99
05/09/2023,$63.39,9067653,$63.64,$63.75,$63.28
05/08/2023,$63.92,7240719,$63.81,$64.055,$63.61
05/05/2023,$64.02,9039023,$63.64,$64.205,$63.63
05/04/2023,$63.72,11938310,$63.74,$63.93,$63.51
05/03/2023,$63.65,11084590,$64.02,$64.18,$63.58
05/02/2023,$64.01,10948420,$64.14,$64.14,$63.27
05/01/2023,$64.30,9091540,$64.15,$64.69,$64.06
04/28/2023,$64.15,13687620,$63.61,$64.16,$63.48
04/27/2023,$63.68,13795820,$63.53,$63.76,$63.1141
04/26/2023,$63.55,13179560,$63.56,$63.77,$63.39
04/25/2023,$63.85,12818860,$64.17,$64.17,$63.63
04/24/2023,$63.95,15532270,$64.75,$64.99,$63.6237
04/21/2023,$64.05,12931100,$64.00,$64.27,$63.80
04/20/2023,$63.96,10706390,$63.63,$64.00,$63.44
04/19/2023,$63.68,9769543,$63.73,$63.83,$63.425
04/18/2023,$63.56,9035679,$63.51,$63.60,$63.19
04/17/2023,$63.46,9452394,$63.32,$63.53,$63.1401
04/14/2023,$63.05,8946011,$63.05,$63.15,$62.775
04/13/2023,$63.15,9871424,$62.76,$63.16,$62.48
04/12/2023,$62.69,9593704,$62.48,$63.03,$62.31
04/11/2023,$62.58,9913049,$62.65,$62.71,$62.40
04/10/2023,$62.69,7952575,$62.49,$62.69,$62.02
04/06/2023,$62.84,9644204,$62.86,$63.0399,$62.38
04/05/2023,$62.80,12789550,$62.53,$63.02,$62.50
04/04/2023,$62.21,11433400,$62.39,$62.74,$62.075
04/03/2023,$62.40,12300660,$62.30,$62.52,$61.86
03/31/2023,$62.03,14440890,$62.06,$62.25,$61.87
03/30/2023,$61.85,9870659,$61.88,$62.09,$61.66
03/29/2023,$61.86,9441019,$61.72,$61.95,$61.59
03/28/2023,$61.42,10925740,$61.39,$61.74,$61.27
03/27/2023,$61.35,12777400,$61.14,$61.48,$60.95
03/24/2023,$60.90,12977610,$60.25,$61.015,$59.91
03/23/2023,$59.92,15479000,$60.09,$60.39,$59.72
