Date,Close/Last,Volume,Open,High,Low
06/22/2023,$113.72,7884931,$111.60,$113.84,$111.60
06/21/2023,$111.16,6854766,$110.11,$111.52,$109.52
06/20/2023,$110.23,7744533,$109.08,$110.86,$109.025
06/16/2023,$109.32,15844490,$109.50,$110.455,$109.06
06/15/2023,$109.40,7305677,$108.40,$109.90,$108.34
06/14/2023,$108.66,6137498,$109.72,$109.93,$108.35
06/13/2023,$109.99,7304236,$108.59,$110.64,$108.05
06/12/2023,$109.86,7468602,$110.19,$110.99,$108.60
06/09/2023,$110.71,6522058,$110.185,$111.51,$109.02
06/08/2023,$110.32,8354102,$108.31,$111.07,$108.00
06/07/2023,$108.61,12420450,$109.63,$109.674,$106.87
06/06/2023,$110.01,6960217,$113.55,$113.72,$109.28
06/05/2023,$113.11,5185464,$113.00,$114.48,$112.91
06/02/2023,$112.52,5792792,$111.11,$112.73,$110.72
06/01/2023,$110.93,6960063,$110.66,$111.59,$109.88
05/31/2023,$110.41,14563540,$108.47,$111.15,$108.47
05/30/2023,$109.17,7768105,$110.13,$110.71,$108.97
05/26/2023,$111.07,6378339,$112.00,$113.19,$110.6501
05/25/2023,$112.30,7037608,$113.50,$113.50,$111.09
05/24/2023,$113.60,4509534,$114.11,$114.32,$112.55
05/23/2023,$113.27,7733023,$113.97,$114.79,$113.05
05/22/2023,$114.49,5607422,$115.48,$117.08,$114.33
05/19/2023,$115.49,7647080,$114.33,$116.24,$114.10
05/18/2023,$114.00,6437144,$114.14,$115.07,$113.33
05/17/2023,$114.76,7210383,$116.37,$116.655,$113.48
05/16/2023,$116.08,4278281,$115.88,$116.76,$115.29
05/15/2023,$116.37,5697236,$117.14,$117.74,$115.49
05/12/2023,$117.14,5233088,$118.00,$118.55,$116.695
05/11/2023,$117.55,5596774,$117.58,$117.786,$116.382
05/10/2023,$117.90,5605474,$117.41,$118.17,$116.42
05/09/2023,$117.43,4933333,$118.25,$118.625,$117.34
05/08/2023,$118.38,5157265,$117.08,$118.44,$116.4398
05/05/2023,$117.68,4534249,$117.38,$117.89,$116.56
05/04/2023,$117.37,6490177,$118.00,$118.00,$116.49
05/03/2023,$118.22,6738610,$118.35,$119.65,$117.93
05/02/2023,$117.89,8175623,$116.67,$118.39,$115.81
05/01/2023,$116.34,5238899,$115.80,$116.60,$115.27
04/28/2023,$115.47,8050414,$114.36,$115.53,$113.46
04/27/2023,$115.16,9975174,$114.60,$115.36,$110.655
04/26/2023,$113.43,6607877,$115.20,$115.20,$112.72
04/25/2023,$116.53,5662787,$116.215,$116.86,$115.91
04/24/2023,$115.94,4299113,$115.635,$116.28,$114.77
04/21/2023,$115.37,6554577,$114.87,$115.65,$114.59
04/20/2023,$114.17,4657866,$114.18,$114.52,$113.00
04/19/2023,$114.13,4683360,$114.49,$115.39,$114.01
04/18/2023,$114.83,5454462,$114.48,$115.12,$113.73
