Date,Close/Last,Volume,Open,High,Low
06/22/2023,$422.48,4872246,$422.93,$424.71,$418.6801
06/21/2023,$424.45,5146441,$432.65,$434.55,$422.54
06/20/2023,$434.70,4762313,$430.18,$440.00,$430.00
06/16/2023,$431.96,8753740,$446.15,$447.51,$430.90
06/15/2023,$445.27,7099915,$444.10,$448.65,$439.50
06/14/2023,$440.86,8413089,$434.99,$447.33,$433.50
06/13/2023,$435.73,7820535,$430.01,$437.27,$428.40
06/12/2023,$423.97,5967712,$418.83,$424.70,$416.5669
06/09/2023,$420.02,12372830,$424.50,$425.90,$414.76
06/08/2023,$409.37,5991087,$399.77,$409.54,$396.34
06/07/2023,$399.77,11932390,$410.43,$418.95,$399.23
06/06/2023,$399.29,4991532,$405.00,$405.12,$396.93
06/05/2023,$403.54,7247413,$400.47,$413.86,$400.15
06/02/2023,$400.47,5902381,$402.89,$406.58,$395.90
06/01/2023,$403.13,7160145,$397.41,$407.52,$393.08
05/31/2023,$395.23,6988047,$391.89,$396.26,$388.91
05/30/2023,$392.98,10864990,$397.48,$405.11,$385.79
05/26/2023,$378.88,9360436,$361.10,$383.76,$356.00
05/25/2023,$359.00,6263105,$359.61,$367.4499,$357.42
05/24/2023,$364.85,7973316,$356.93,$367.151,$356.625
05/23/2023,$355.99,6866078,$360.24,$364.17,$354.31
05/22/2023,$363.01,5406420,$365.36,$372.01,$362.50
05/19/2023,$365.36,7859703,$369.86,$369.99,$363.81
05/18/2023,$371.29,20925240,$347.25,$375.87,$346.37
05/17/2023,$339.96,3958807,$331.76,$341.38,$329.615
05/16/2023,$333.75,3334863,$334.00,$335.17,$331.91
05/15/2023,$335.89,3652970,$340.62,$341.90,$335.54
05/12/2023,$339.89,6082360,$344.76,$348.1664,$337.3637
05/11/2023,$344.76,8033531,$334.98,$345.47,$331.84
05/10/2023,$335.42,4289897,$335.21,$337.11,$329.51
05/09/2023,$332.14,5544852,$330.67,$336.32,$329.7401
05/08/2023,$331.21,5488593,$322.99,$332.56,$322.03
05/05/2023,$322.76,3990637,$323.61,$324.15,$319.4401
05/04/2023,$320.78,3879657,$319.01,$323.61,$317.95
05/03/2023,$319.30,5064057,$317.55,$324.62,$315.85
05/02/2023,$317.55,4318612,$325.00,$326.07,$315.62
05/01/2023,$324.12,5341484,$329.435,$331.23,$318.09
04/28/2023,$329.93,4228374,$325.24,$330.8077,$324.00
04/27/2023,$325.85,5618768,$324.30,$327.45,$317.44
04/26/2023,$321.15,4623238,$321.36,$325.90,$320.47
04/25/2023,$322.55,5426642,$328.50,$328.655,$321.10
04/24/2023,$329.02,5586627,$330.20,$334.66,$326.75
04/21/2023,$327.98,6348000,$323.00,$328.29,$319.50
04/20/2023,$325.35,9947800,$320.39,$331.4298,$318.33
04/19/2023,$323.12,22128270,$324.21,$325.75,$316.10
04/18/2023,$333.70,17944500,$335.00,$337.19,$330.50
04/17/2023,$332.72,6136047,$338.00,$338.39,$327.50
04/14/2023,$338.63,5350508,$342.94,$344.853,$336.41
04/13/2023,$346.19,7406437,$339.99,$346.43,$338.75
04/12/2023,$331.03,3965440,$340.81,$342.80,$330.04
04/11/2023,$338.21,4044778,$343.45,$347.14,$337.635
04/10/2023,$338.99,2657898,$335.27,$339.88,$333.36
04/06/2023,$339.33,4660542,$339.34,$340.48,$332.63
04/05/2023,$342.35,4205545,$345.30,$345.43,$336.2526
04/04/2023,$346.75,3298072,$348.49,$349.80,$343.95
04/03/2023,$348.28,4413650,$341.83,$348.58,$340.4001
03/31/2023,$345.48,5610161,$340.05,$345.84,$337.2001
03/30/2023,$338.43,7131468,$340.27,$343.29,$335.30
03/29/2023,$332.03,6287336,$326.29,$332.85,$325.73
03/28/2023,$323.52,6489388,$326.06,$333.32,$321.28
03/27/2023,$327.66,8625763,$327.55,$336.44,$324.41
03/24/2023,$328.39,13004090,$320.63,$331.83,$320.63
03/23/2023,$320.37,15653350,$304.68,$322.78,$304.14
03/22/2023,$293.90,5808035,$306.31,$306.45,$293.54
03/21/2023,$305.79,4886279,$306.32,$307.92,$300.43
03/20/2023,$305.13,5113430,$299.79,$307.50,$296.00
03/17/2023,$303.50,6918777,$310.06,$310.76,$300.00
03/16/2023,$310.06,7912371,$304.75,$316.60,$301.71
03/15/2023,$303.79,9215340,$292.51,$306.31,$292.28
03/14/2023,$294.94,5956692,$295.97,$297.45,$290.31
03/13/2023,$293.51,6292385,$287.34,$299.24,$285.3301
03/10/2023,$292.76,5759315,$297.905,$298.79,$289.00
03/09/2023,$297.78,7443350,$312.08,$312.51,$294.88
03/08/2023,$311.79,3479474,$309.29,$311.83,$305.75
03/07/2023,$308.47,4553082,$312.675,$314.30,$306.6226
03/06/2023,$312.03,5660743,$317.00,$323.30,$311.8412
03/03/2023,$315.18,5953319,$315.45,$317.49,$310.82
03/02/2023,$311.88,4921053,$310.96,$315.57,$310.38
03/01/2023,$313.48,4911311,$321.55,$326.60,$312.36
02/28/2023,$322.13,3676075,$323.70,$327.62,$321.17
02/27/2023,$323.03,6142580,$323.87,$330.00,$322.121
02/24/2023,$317.15,6830692,$319.30,$321.50,$314.52
02/23/2023,$323.65,13238670,$331.23,$331.28,$314.30
02/22/2023,$334.88,4546249,$337.50,$341.91,$332.82
02/21/2023,$337.50,5710292,$342.85,$344.1253,$336.4177
02/17/2023,$347.96,5294727,$347.905,$349.00,$342.44
02/16/2023,$350.71,5215726,$355.00,$361.50,$350.31
02/15/2023,$361.42,3969945,$356.63,$362.88,$354.24
02/14/2023,$359.96,4624758,$357.55,$363.75,$353.40
02/13/2023,$358.57,7134445,$349.50,$359.7034,$344.25
02/10/2023,$347.36,7291096,$359.16,$362.14,$347.14
02/09/2023,$362.50,6901100,$372.41,$373.83,$361.7444
02/08/2023,$366.83,6253179,$360.02,$368.193,$358.31
02/07/2023,$362.95,6289368,$358.51,$364.1799,$354.18
02/06/2023,$361.48,4994942,$363.642,$368.45,$360.68
02/03/2023,$365.90,9402034,$359.08,$379.4301,$359.00
02/02/2023,$366.89,7856952,$365.16,$368.32,$358.43
02/01/2023,$361.99,8005170,$353.86,$365.385,$349.91
01/31/2023,$353.86,5660738,$349.98,$355.95,$348.71
01/30/2023,$353.11,5127593,$358.44,$360.95,$352.855
01/27/2023,$360.77,6703548,$363.20,$365.92,$360.59
01/26/2023,$364.87,8256844,$368.77,$369.02,$361.70
01/25/2023,$367.96,7766907,$360.57,$368.8999,$358.501
01/24/2023,$363.83,11796530,$357.53,$365.65,$355.1401
01/23/2023,$357.42,15646850,$341.715,$362.2453,$340.6329
01/20/2023,$342.50,28430340,$336.79,$344.00,$332.625
01/19/2023,$315.78,18008200,$322.57,$324.89,$313.39
01/18/2023,$326.33,7814115,$326.75,$330.08,$321.25
01/17/2023,$326.22,9246987,$331.08,$332.50,$323.60
01/13/2023,$332.82,8286816,$329.97,$336.65,$328.885
01/12/2023,$330.13,10856250,$332.50,$332.95,$323.14
01/11/2023,$327.26,9579681,$326.50,$328.88,$321.35
01/10/2023,$327.54,13072290,$311.07,$329.35,$311.07
01/09/2023,$315.17,6766628,$316.83,$321.70,$313.22
01/06/2023,$315.55,8959839,$311.57,$316.77,$303.69
01/05/2023,$309.70,8328390,$307.00,$314.18,$304.545
01/04/2023,$309.41,9345054,$298.24,$311.135,$295.51
01/03/2023,$294.95,6763964,$298.06,$298.39,$288.70
12/30/2022,$294.88,7566892,$285.53,$295.01,$283.22
12/29/2022,$291.12,9588527,$283.18,$295.4999,$281.01
12/28/2022,$276.88,5964369,$281.92,$285.19,$273.41
12/27/2022,$284.17,5778098,$293.19,$293.57,$282.13
12/23/2022,$294.965,4251108,$296.18,$298.4614,$291.91
