Date,Close/Last,Volume,Open,High,Low
06/22/2023,$549.87,1238191,$543.22,$550.23,$539.01
06/21/2023,$546.80,1129228,$557.79,$559.65,$545.59
06/20/2023,$559.49,1118747,$558.30,$569.63,$555.44
06/16/2023,$565.48,2088553,$574.37,$574.65,$564.95
06/15/2023,$574.37,1319142,$563.05,$576.68,$562.11
06/14/2023,$567.31,1283655,$554.95,$567.98,$554.00
06/13/2023,$554.72,1345402,$556.00,$559.59,$549.27
06/12/2023,$546.35,1295900,$539.02,$546.90,$532.13
06/09/2023,$534.03,1370013,$538.24,$545.00,$531.54
06/08/2023,$535.34,1458708,$529.59,$541.4482,$526.11
06/07/2023,$528.32,2406593,$555.55,$557.82,$527.24
06/06/2023,$555.80,1388164,$556.50,$563.63,$555.18
06/05/2023,$556.71,1316189,$548.08,$559.86,$542.37
06/02/2023,$548.18,1278199,$546.00,$554.44,$541.28
06/01/2023,$542.96,1479807,$534.80,$550.62,$532.02
05/31/2023,$544.78,2385776,$539.33,$548.26,$533.795
05/30/2023,$549.12,1937338,$548.00,$556.58,$544.37
05/26/2023,$537.46,2134611,$534.64,$549.56,$531.81
05/25/2023,$531.78,3163304,$523.29,$539.80,$517.80
05/24/2023,$502.55,1098990,$496.72,$506.26,$494.13
05/23/2023,$500.14,1124140,$507.50,$511.78,$499.85
05/22/2023,$511.39,1360939,$506.60,$517.09,$506.17
05/19/2023,$510.30,1702249,$510.00,$511.73,$502.75
05/18/2023,$510.17,2860078,$500.00,$512.61,$495.815
05/17/2023,$492.92,3217594,$479.49,$494.94,$477.16
05/16/2023,$468.24,1628499,$462.90,$478.00,$461.77
05/15/2023,$463.14,1501227,$453.30,$464.65,$452.235
05/12/2023,$455.20,1221260,$453.00,$457.4729,$446.6494
05/11/2023,$452.57,2018807,$453.99,$455.46,$447.45
05/10/2023,$454.14,1537752,$449.18,$459.99,$446.2501
05/09/2023,$441.39,1171646,$437.22,$445.84,$435.07
05/08/2023,$438.99,1446644,$436.90,$439.57,$429.05
05/05/2023,$434.80,1302807,$433.00,$439.67,$431.55
05/04/2023,$430.51,1658810,$439.06,$442.54,$428.97
05/03/2023,$437.08,1192000,$443.53,$446.90,$436.45
05/02/2023,$443.68,1284314,$450.53,$451.00,$439.39
05/01/2023,$450.41,1424271,$456.31,$456.31,$449.30
04/28/2023,$459.42,2360323,$454.24,$461.68,$449.20
04/27/2023,$454.34,4855322,$440.23,$458.65,$427.68
04/26/2023,$454.03,2891124,$450.00,$454.50,$445.88
04/25/2023,$442.28,2058579,$466.75,$468.2499,$441.98
04/24/2023,$473.00,1223655,$474.00,$476.60,$465.25
04/21/2023,$473.31,1092083,$470.19,$474.16,$465.11
04/20/2023,$467.69,1038705,$473.32,$473.78,$465.40
04/19/2023,$475.59,1018571,$475.00,$478.35,$473.17
04/18/2023,$475.99,1181166,$478.13,$478.13,$470.01
04/17/2023,$470.55,1070931,$465.01,$471.69,$463.57
04/14/2023,$463.03,3075216,$466.78,$469.82,$454.6871
04/13/2023,$483.50,1600195,$475.32,$485.58,$472.95
04/12/2023,$471.43,1622495,$474.59,$480.83,$469.475
04/11/2023,$469.82,977903,$466.01,$473.89,$464.33
04/10/2023,$472.64,1242760,$466.15,$473.03,$456.375
04/06/2023,$473.13,1691546,$463.95,$473.65,$457.46
04/05/2023,$467.33,1345811,$475.75,$476.00,$460.29
04/04/2023,$476.05,2247230,$475.44,$482.33,$472.38
04/03/2023,$464.49,1358561,$461.53,$465.89,$457.41
03/31/2023,$464.72,2454005,$443.10,$465.405,$441.62
03/30/2023,$439.63,1078797,$443.54,$443.84,$438.08
03/29/2023,$438.44,1304536,$433.55,$438.99,$431.29
03/28/2023,$429.08,1089117,$429.02,$431.91,$427.01
03/27/2023,$431.31,935255,$433.50,$437.7401,$430.13
03/24/2023,$432.90,922868,$438.83,$439.2199,$427.1101
03/23/2023,$440.47,1165451,$440.47,$451.9737,$437.665
03/22/2023,$433.51,931550,$447.18,$448.76,$433.47
03/21/2023,$445.46,1282051,$436.10,$447.87,$436.10
03/20/2023,$435.15,1379119,$438.04,$439.49,$425.85
03/17/2023,$441.00,2917494,$443.65,$443.66,$434.60
03/16/2023,$442.39,2075107,$422.84,$442.90,$421.50
03/15/2023,$422.26,1186814,$418.72,$422.67,$414.80
03/14/2023,$424.54,1136423,$422.80,$425.9799,$416.93
03/13/2023,$414.93,1684725,$412.95,$425.93,$405.372
03/10/2023,$415.08,1884198,$428.00,$429.23,$409.31
03/09/2023,$428.50,1469350,$444.23,$450.80,$428.0912
03/08/2023,$446.97,817792,$444.33,$450.52,$441.50
03/07/2023,$444.81,1215196,$445.60,$454.54,$443.76
03/06/2023,$446.02,1094103,$445.50,$454.89,$444.37
03/03/2023,$443.98,991528,$439.82,$445.3825,$439.13
03/02/2023,$436.04,1156728,$428.71,$436.42,$425.58
03/01/2023,$428.94,917461,$431.94,$435.42,$426.04
02/28/2023,$432.17,1468830,$425.66,$434.22,$425.66
02/27/2023,$428.57,1482052,$431.24,$437.64,$427.66
02/24/2023,$425.59,1086006,$432.32,$434.58,$423.76
02/23/2023,$441.71,946777,$440.41,$442.78,$433.78
02/22/2023,$439.84,1237335,$437.65,$447.07,$435.29
02/21/2023,$431.86,1098722,$431.82,$437.10,$428.55
