Date,Close/Last,Volume,Open,High,Low
06/22/2023,$100.54,959859,$100.14,$100.69,$100.075
06/21/2023,$100.91,1498842,$100.99,$101.39,$100.4657
06/20/2023,$100.82,1446444,$101.435,$101.50,$100.67
06/16/2023,$101.83,2683379,$102.43,$102.73,$101.54
06/15/2023,$101.39,1626681,$100.72,$101.5095,$100.41
06/14/2023,$99.68,998876,$99.74,$99.96,$99.44
06/13/2023,$99.32,1623653,$99.74,$99.885,$99.1772
06/12/2023,$100.00,2367397,$100.77,$100.88,$99.47
06/09/2023,$100.93,3168391,$100.35,$101.03,$99.68
06/08/2023,$100.65,2089564,$99.74,$100.82,$99.33
06/07/2023,$98.50,1802730,$99.925,$100.00,$98.30
06/06/2023,$99.66,2705715,$100.27,$100.37,$99.1342
06/05/2023,$99.37,2429265,$99.85,$99.99,$99.1801
06/02/2023,$98.91,3739795,$98.11,$98.93,$97.89
06/01/2023,$97.11,2536169,$97.01,$97.16,$96.56
05/31/2023,$96.25,3607519,$96.19,$96.49,$95.34
05/30/2023,$96.55,1811285,$96.80,$97.1038,$96.10
05/26/2023,$97.86,2946088,$98.19,$98.8287,$97.73
05/25/2023,$97.78,3449816,$98.66,$98.66,$97.35
05/24/2023,$100.03,1458456,$100.19,$100.23,$99.70
05/23/2023,$100.25,2213922,$101.49,$101.495,$100.21
05/22/2023,$100.74,1818952,$101.46,$102.00,$100.64
05/19/2023,$100.81,1530063,$99.99,$101.00,$99.98
05/18/2023,$100.35,1980085,$100.72,$101.1423,$99.56
05/17/2023,$101.22,2616250,$102.29,$102.29,$100.89
05/16/2023,$102.81,1416617,$103.16,$103.23,$102.77
05/15/2023,$103.12,1452551,$103.35,$103.48,$102.70
05/12/2023,$103.14,1783254,$103.09,$103.795,$102.97
05/11/2023,$103.42,1361224,$103.22,$103.57,$102.775
05/10/2023,$103.63,1653797,$103.62,$103.89,$102.86
05/09/2023,$104.70,1254971,$104.51,$104.92,$104.305
05/08/2023,$104.91,1188725,$104.60,$105.35,$104.39
05/05/2023,$104.72,937252,$103.81,$104.8817,$103.40
05/04/2023,$104.62,1407861,$104.47,$104.86,$103.945
05/03/2023,$104.45,1568592,$104.11,$104.82,$103.73
05/02/2023,$103.54,2370238,$101.96,$103.68,$101.91
05/01/2023,$102.54,1018129,$102.75,$102.975,$102.39
04/28/2023,$102.57,1892057,$101.84,$102.7465,$101.55
04/27/2023,$102.65,1829363,$102.14,$102.73,$101.61
04/26/2023,$102.54,2514224,$104.68,$104.68,$102.46
04/25/2023,$104.04,3910956,$104.85,$105.56,$103.58
04/24/2023,$100.59,1890305,$100.79,$100.93,$100.17
04/21/2023,$100.30,2585370,$99.68,$100.44,$99.295
04/20/2023,$98.60,1473323,$98.35,$98.6212,$98.31
04/19/2023,$98.02,1823647,$98.41,$98.4653,$97.96
04/18/2023,$97.32,1859749,$98.15,$98.26,$97.175
04/17/2023,$97.97,1970741,$98.34,$98.35,$97.61
04/14/2023,$97.88,1284476,$98.06,$98.21,$97.58
04/13/2023,$98.22,1923650,$97.72,$98.27,$97.69
