Date,Close/Last,Volume,Open,High,Low
06/22/2023,$120.58,12204560,$121.61,$122.59,$120.07
06/21/2023,$122.10,17582950,$121.95,$123.36,$120.36
06/20/2023,$122.04,16280340,$124.45,$125.25,$121.96
06/16/2023,$125.46,19514670,$127.14,$127.40,$125.15
06/15/2023,$126.55,27476730,$121.95,$127.54,$121.66
06/14/2023,$122.27,26264250,$116.50,$122.51,$115.74
06/13/2023,$116.68,39190920,$123.32,$123.99,$116.02
06/12/2023,$116.43,39532010,$114.34,$117.51,$114.34
06/09/2023,$109.85,12597070,$107.70,$110.15,$107.41
06/08/2023,$107.48,9529126,$105.67,$107.785,$105.35
06/07/2023,$105.25,9842484,$107.14,$108.37,$104.835
06/06/2023,$107.10,7022994,$106.81,$107.49,$106.15
06/05/2023,$106.93,7441981,$105.89,$107.60,$105.53
06/02/2023,$105.89,8652377,$106.52,$106.77,$105.75
06/01/2023,$105.99,7835885,$104.88,$106.61,$104.78
05/31/2023,$105.94,13713520,$104.47,$106.49,$104.15
05/30/2023,$105.15,10296710,$104.90,$105.98,$104.19
05/26/2023,$104.08,13994060,$104.35,$106.23,$104.03
05/25/2023,$104.29,16729610,$99.20,$104.66,$98.77
05/24/2023,$98.32,6815861,$97.95,$98.88,$97.29
05/23/2023,$98.54,10047260,$101.07,$101.43,$98.465
05/22/2023,$101.77,5890481,$102.48,$103.10,$101.73
05/19/2023,$102.84,8560257,$102.39,$103.07,$101.92
05/18/2023,$102.34,10005730,$99.77,$102.46,$99.73
05/17/2023,$99.77,9436009,$98.78,$100.40,$98.43
05/16/2023,$98.25,6898204,$97.17,$98.845,$96.92
05/15/2023,$97.26,4443811,$97.87,$97.96,$97.045
05/12/2023,$97.85,4994703,$97.61,$97.92,$96.93
05/11/2023,$97.44,5144541,$97.54,$97.63,$96.335
05/10/2023,$97.52,5935280,$96.79,$97.675,$96.256
05/09/2023,$96.14,6333498,$96.20,$96.89,$96.10
05/08/2023,$96.79,5314753,$97.08,$97.28,$96.44
05/05/2023,$96.97,8068571,$95.00,$97.31,$94.83
05/04/2023,$94.97,5038200,$94.98,$95.12,$94.41
05/03/2023,$94.78,6744810,$95.07,$95.42,$94.54
05/02/2023,$94.80,5995080,$94.93,$95.24,$93.85
05/01/2023,$94.87,5459865,$94.80,$95.73,$94.70
04/28/2023,$94.72,8498551,$94.27,$95.40,$94.24
04/27/2023,$95.04,5615746,$94.31,$95.09,$93.2906
04/26/2023,$93.71,6395726,$93.75,$94.81,$93.34
04/25/2023,$94.06,5768842,$95.14,$95.70,$94.02
04/24/2023,$95.44,4901783,$95.34,$96.075,$94.97
04/21/2023,$95.15,7335787,$95.01,$95.31,$94.26
04/20/2023,$94.83,5815527,$96.00,$96.15,$94.60
04/19/2023,$95.81,4766371,$95.59,$96.47,$95.59
04/18/2023,$96.47,7219366,$96.00,$96.7413,$95.7749
04/17/2023,$95.59,4772486,$95.64,$95.99,$95.31
04/14/2023,$95.71,6485060,$95.50,$95.99,$94.68
04/13/2023,$95.55,6240215,$94.18,$95.745,$93.94
04/12/2023,$93.90,8040306,$94.38,$95.32,$93.595
04/11/2023,$93.97,8196049,$93.46,$94.13,$93.20
04/10/2023,$93.76,8681735,$94.68,$95.11,$93.55
04/06/2023,$95.92,9146244,$94.33,$96.08,$93.99
04/05/2023,$94.89,7478750,$93.62,$95.108,$93.48
04/04/2023,$94.00,6651475,$93.85,$94.02,$92.93
04/03/2023,$93.92,8410872,$92.38,$94.00,$92.09
03/31/2023,$92.92,10476330,$90.56,$93.00,$90.41
03/30/2023,$90.51,5640690,$90.85,$91.18,$89.71
03/29/2023,$90.62,5233647,$90.13,$90.66,$89.81
03/28/2023,$89.85,6378927,$90.22,$90.88,$89.48
03/27/2023,$90.14,8170050,$88.62,$90.50,$88.545
03/24/2023,$88.01,5852248,$87.98,$88.48,$87.51
03/23/2023,$87.78,10747140,$88.65,$89.64,$87.64
03/22/2023,$87.90,7233663,$87.54,$89.16,$87.44
03/21/2023,$87.58,6683731,$87.49,$87.8482,$86.66
03/20/2023,$86.96,9177289,$85.28,$87.51,$85.25
03/17/2023,$85.26,13066030,$85.00,$85.98,$84.61
03/16/2023,$84.82,10149160,$82.92,$85.11,$82.08
03/15/2023,$82.98,11463010,$83.08,$83.37,$82.12
