Date,Close/Last,Volume,Open,High,Low
06/22/2023,$38.73,18047000,$38.94,$38.986,$38.41
06/21/2023,$38.90,17982940,$39.20,$39.24,$38.76
06/20/2023,$39.34,26881170,$39.71,$39.87,$39.33
06/16/2023,$40.06,60338570,$39.86,$40.36,$39.845
06/15/2023,$39.75,19905910,$39.41,$39.83,$39.28
06/14/2023,$39.36,22056420,$40.32,$40.34,$39.315
06/13/2023,$40.28,26533760,$39.67,$40.365,$39.45
06/12/2023,$39.90,28340780,$39.01,$40.065,$38.99
06/09/2023,$38.97,19777460,$39.28,$39.59,$38.8727
06/08/2023,$39.09,17353720,$39.04,$39.19,$38.73
06/07/2023,$38.89,25295130,$38.35,$39.06,$38.13
06/06/2023,$38.37,19508230,$38.81,$38.86,$38.2932
06/05/2023,$38.65,18392230,$38.48,$39.015,$38.4701
06/02/2023,$38.36,22736350,$38.25,$38.66,$38.16
06/01/2023,$38.02,20256140,$38.12,$38.21,$37.70
05/31/2023,$38.02,46166330,$37.10,$38.22,$36.87
05/30/2023,$37.01,24371100,$37.36,$37.36,$36.92
05/26/2023,$37.60,20234630,$38.04,$38.44,$37.5635
05/25/2023,$37.83,30266600,$38.51,$38.51,$37.65
05/24/2023,$38.63,39326370,$40.10,$40.14,$38.60
05/23/2023,$39.64,75379540,$38.55,$40.14,$38.00
05/22/2023,$38.75,85718550,$36.86,$38.865,$36.75
05/19/2023,$36.77,33068320,$36.65,$37.654,$36.52
05/18/2023,$36.48,27772420,$36.71,$36.78,$36.17
05/17/2023,$36.75,23206390,$36.98,$37.05,$36.51
05/16/2023,$37.01,25451710,$37.02,$37.24,$36.83
05/15/2023,$37.16,16650410,$37.30,$37.36,$37.005
05/12/2023,$37.35,16541290,$37.61,$37.72,$37.23
05/11/2023,$37.58,28566370,$37.60,$37.65,$37.205
05/10/2023,$38.30,15858220,$38.67,$38.72,$38.08
05/09/2023,$38.48,15987900,$38.48,$38.67,$38.39
05/08/2023,$38.67,20101720,$38.53,$38.73,$38.35
05/05/2023,$38.49,19225050,$38.38,$38.50,$38.09
05/04/2023,$38.23,23675130,$38.17,$38.43,$38.02
05/03/2023,$38.45,27721930,$39.20,$39.39,$38.36
05/02/2023,$39.06,38834140,$39.29,$40.115,$38.63
05/01/2023,$39.21,23917760,$39.00,$39.52,$38.86
04/28/2023,$38.89,21015330,$38.70,$38.91,$38.615
04/27/2023,$38.74,22434050,$38.62,$38.83,$38.31
04/26/2023,$38.63,22401430,$39.16,$39.19,$38.40
04/25/2023,$39.33,24492370,$39.75,$39.92,$39.285
04/24/2023,$39.91,17633650,$40.19,$40.20,$39.71
04/21/2023,$40.21,19227110,$40.09,$40.30,$39.905
04/20/2023,$39.85,20131600,$40.08,$40.19,$39.79
04/19/2023,$40.24,17214340,$40.43,$40.56,$40.20
04/18/2023,$40.55,18541480,$41.28,$41.33,$40.53
04/17/2023,$41.18,17608640,$41.12,$41.28,$40.96
04/14/2023,$41.19,20627480,$41.505,$41.71,$40.93
04/13/2023,$41.47,22880860,$41.53,$41.70,$41.295
04/12/2023,$41.37,17035070,$41.63,$41.79,$41.27
04/11/2023,$41.79,15304120,$41.80,$41.99,$41.70
04/10/2023,$41.73,15137290,$41.15,$41.74,$41.12
04/06/2023,$41.50,25931830,$41.93,$42.095,$41.3743
04/05/2023,$41.55,29697620,$41.285,$42.22,$41.17
04/04/2023,$40.90,19514530,$41.44,$41.53,$40.76
04/03/2023,$41.35,20817190,$40.69,$41.4668,$40.65
03/31/2023,$40.80,23393580,$40.55,$40.83,$40.28
03/30/2023,$40.38,12634520,$40.42,$40.49,$40.25
03/29/2023,$40.25,14429510,$40.16,$40.27,$39.99
03/28/2023,$39.99,13537520,$40.20,$40.30,$39.86
03/27/2023,$40.22,20262830,$40.54,$40.62,$39.97
03/24/2023,$40.39,17221120,$40.09,$40.455,$39.8748
03/23/2023,$40.18,16958150,$40.17,$40.4972,$40.00
03/22/2023,$40.01,15444160,$40.70,$40.85,$39.99
03/21/2023,$40.66,19981980,$40.86,$40.91,$40.31
03/20/2023,$40.81,20825380,$40.14,$40.86,$39.94
03/17/2023,$40.10,57457790,$40.625,$40.79,$39.985
03/16/2023,$40.37,21100880,$40.06,$40.49,$39.72
03/15/2023,$40.28,25498380,$39.76,$40.53,$39.46
03/14/2023,$39.90,24583600,$40.05,$40.15,$39.52
03/13/2023,$39.86,35299380,$39.255,$40.505,$39.255
03/10/2023,$39.39,26328100,$39.29,$39.93,$39.23
03/09/2023,$39.46,18585100,$40.41,$40.57,$39.31
03/08/2023,$40.12,16756130,$40.32,$40.5668,$39.905
03/07/2023,$40.34,23205790,$41.06,$41.13,$40.10
03/06/2023,$41.11,19434760,$41.09,$41.26,$40.82
03/03/2023,$41.15,20922030,$40.91,$41.18,$40.74
03/02/2023,$40.62,19112800,$40.06,$40.78,$39.805
03/01/2023,$40.18,21104420,$40.56,$40.76,$40.135
02/28/2023,$40.57,31086880,$40.50,$40.7099,$40.09
02/27/2023,$40.78,26370310,$41.44,$41.73,$40.73
02/24/2023,$41.75,16806100,$42.03,$42.05,$41.505
02/23/2023,$42.30,21104330,$42.29,$42.75,$42.22
02/22/2023,$42.38,17394200,$42.72,$42.885,$42.31
02/21/2023,$42.70,17356570,$42.81,$42.93,$42.62
02/17/2023,$43.21,18293450,$42.89,$43.37,$42.58
02/16/2023,$42.95,17832040,$43.15,$43.18,$42.77
02/15/2023,$43.32,18999280,$43.42,$43.61,$43.11
02/14/2023,$43.72,17506900,$44.09,$44.20,$43.58
02/13/2023,$43.99,17878020,$43.68,$44.01,$43.51
02/10/2023,$43.88,18619570,$43.50,$43.98,$43.26
02/09/2023,$43.34,20809250,$44.12,$44.325,$43.24
02/08/2023,$43.98,19362310,$43.55,$44.10,$43.53
02/07/2023,$43.59,22999450,$43.82,$43.90,$43.2506
02/06/2023,$43.76,18071240,$44.19,$44.30,$43.725
02/03/2023,$44.06,23741990,$44.355,$44.39,$43.88
02/02/2023,$44.34,35279250,$43.63,$44.46,$43.50
