Date,Close/Last,Volume,Open,High,Low
06/22/2023,$149.95,6666932,$150.35,$151.10,$149.475
06/21/2023,$149.44,4649893,$148.26,$149.605,$147.87
06/20/2023,$148.16,5340854,$149.745,$150.28,$148.11
06/16/2023,$149.54,11244930,$148.92,$150.09,$148.90
06/15/2023,$148.45,5862999,$147.17,$148.97,$146.54
06/14/2023,$146.42,5693491,$145.31,$146.885,$144.83
06/13/2023,$145.06,5321204,$144.51,$145.68,$144.275
06/12/2023,$145.41,5354690,$147.00,$147.01,$144.55
06/09/2023,$146.56,5569831,$145.68,$146.7788,$144.73
06/08/2023,$146.44,4864149,$145.34,$146.65,$144.92
06/07/2023,$144.80,6194620,$144.01,$145.12,$143.4749
06/06/2023,$144.49,4636045,$146.07,$146.31,$143.55
06/05/2023,$145.94,4753665,$146.05,$147.85,$145.73
06/02/2023,$146.52,6124403,$144.51,$146.68,$144.39
06/01/2023,$143.96,6091064,$143.25,$144.1199,$142.45
05/31/2023,$142.50,19854790,$143.16,$143.98,$141.90
05/30/2023,$143.18,5561037,$143.86,$144.04,$142.35
05/26/2023,$145.40,4716495,$145.33,$146.01,$144.725
05/25/2023,$145.39,6510519,$145.49,$146.21,$144.35
05/24/2023,$146.33,5755426,$147.59,$148.20,$146.09
05/23/2023,$147.55,6116037,$148.79,$148.88,$147.07
05/22/2023,$149.16,7876207,$152.50,$152.60,$148.83
05/19/2023,$153.17,4754120,$152.47,$153.32,$151.84
05/18/2023,$152.53,6997610,$153.31,$153.65,$151.60
05/17/2023,$155.08,4287036,$156.26,$156.56,$153.90
05/16/2023,$155.74,5591579,$155.87,$156.92,$154.93
05/15/2023,$156.01,5414904,$156.61,$156.75,$154.64
05/12/2023,$155.96,5252889,$154.695,$156.05,$154.39
05/11/2023,$154.39,3495324,$154.81,$154.89,$153.39
05/10/2023,$154.03,4754854,$153.45,$154.32,$152.44
05/09/2023,$153.71,4472097,$155.85,$155.98,$153.58
05/08/2023,$155.30,4950679,$155.35,$155.73,$154.87
05/05/2023,$156.03,3989157,$155.40,$156.31,$154.69
05/04/2023,$155.51,4892639,$156.10,$156.60,$155.09
05/03/2023,$156.23,5775009,$156.64,$157.57,$155.43
05/02/2023,$156.43,5262908,$156.59,$156.93,$155.67
05/01/2023,$156.57,3844761,$156.03,$157.395,$155.80
