Date,Close/Last,Volume,Open,High,Low
06/22/2023,$135.11,697718,$134.38,$135.42,$134.30
06/21/2023,$134.79,824534,$135.57,$135.68,$134.38
06/20/2023,$136.01,686248,$136.06,$136.8307,$135.48
06/16/2023,$137.28,983348,$139.045,$139.25,$137.19
06/15/2023,$137.04,688508,$134.92,$137.06,$134.62
06/14/2023,$135.56,505925,$134.64,$136.36,$134.47
06/13/2023,$135.29,766587,$134.66,$135.84,$134.03
06/12/2023,$133.77,1084361,$131.96,$133.94,$131.74
06/09/2023,$132.72,499275,$132.95,$133.60,$132.05
06/08/2023,$133.21,417128,$132.01,$133.29,$131.96
06/07/2023,$131.70,805188,$132.75,$133.26,$131.48
06/06/2023,$131.84,551921,$132.16,$132.24,$131.52
06/05/2023,$131.50,515140,$132.30,$132.33,$131.26
06/02/2023,$132.97,532516,$133.26,$133.53,$132.51
06/01/2023,$132.17,783437,$131.15,$132.37,$130.62
05/31/2023,$130.44,1324959,$130.48,$130.87,$129.15
05/30/2023,$130.24,729130,$131.91,$132.07,$130.12
05/26/2023,$131.41,832101,$130.13,$131.63,$130.04
05/25/2023,$129.44,1352206,$129.80,$129.825,$128.84
05/24/2023,$129.21,717260,$129.63,$129.63,$128.77
05/23/2023,$129.83,1170754,$132.53,$132.81,$129.71
05/22/2023,$133.29,693541,$133.47,$133.93,$133.265
05/19/2023,$134.28,696744,$134.58,$135.12,$134.28
05/18/2023,$133.90,954724,$133.40,$134.15,$133.11
05/17/2023,$132.62,995657,$133.40,$133.58,$131.64
05/16/2023,$133.16,2325289,$131.32,$133.89,$131.21
05/15/2023,$131.30,1864721,$130.36,$134.05,$130.10
05/12/2023,$131.58,655466,$131.79,$132.0166,$131.29
05/11/2023,$133.69,756944,$134.07,$134.13,$132.81
05/10/2023,$134.83,733645,$134.84,$135.41,$133.85
05/09/2023,$134.68,674757,$133.96,$135.1018,$133.84
05/08/2023,$135.78,718470,$136.06,$136.20,$135.22
05/05/2023,$134.76,623760,$134.13,$135.00,$134.00
05/04/2023,$134.09,692458,$133.86,$134.64,$133.435
05/03/2023,$135.78,1414814,$136.08,$137.32,$135.28
05/02/2023,$134.36,867613,$133.61,$134.50,$133.49
05/01/2023,$134.48,467224,$135.57,$135.57,$134.44
04/28/2023,$135.27,746813,$135.34,$135.71,$134.83
04/27/2023,$136.65,967528,$135.79,$136.85,$135.01
04/26/2023,$133.35,1346549,$135.61,$135.61,$133.12
04/25/2023,$133.43,1427161,$134.46,$135.67,$133.41
04/24/2023,$132.54,1406605,$132.89,$133.74,$131.9213
04/21/2023,$133.95,2742855,$132.13,$134.64,$131.80
04/20/2023,$126.86,1512413,$126.93,$127.72,$126.40
04/19/2023,$127.30,1512202,$127.67,$127.77,$127.06
04/18/2023,$127.64,1417059,$128.13,$128.30,$127.35
04/17/2023,$127.20,1387851,$127.75,$127.95,$126.67
04/14/2023,$127.42,980031,$127.72,$128.17,$126.70
04/13/2023,$128.05,1132137,$127.06,$128.49,$127.06
04/12/2023,$127.11,1318428,$127.59,$128.115,$126.79
04/11/2023,$126.54,1146772,$126.69,$127.05,$126.345
04/10/2023,$127.45,604419,$127.60,$127.60,$125.80
04/06/2023,$128.71,989476,$128.00,$128.88,$127.20
04/05/2023,$126.74,665587,$128.01,$128.23,$126.28
04/04/2023,$127.81,788170,$126.95,$127.86,$126.91
04/03/2023,$126.32,876270,$126.18,$126.425,$125.57
03/31/2023,$126.55,668203,$125.84,$126.77,$125.73
03/30/2023,$126.07,745979,$125.51,$126.07,$125.11
03/29/2023,$124.32,915953,$123.58,$124.56,$123.54
03/28/2023,$123.47,631351,$123.55,$123.65,$122.74
03/27/2023,$123.25,571071,$123.85,$124.3899,$122.9875
03/24/2023,$123.29,907143,$123.11,$123.54,$122.03
03/23/2023,$123.74,599534,$124.04,$125.28,$123.05
03/22/2023,$122.24,480554,$122.82,$124.47,$122.22
03/21/2023,$123.48,594223,$122.43,$123.61,$122.12
03/20/2023,$121.38,771660,$121.34,$121.48,$120.52
03/17/2023,$119.22,1040263,$119.07,$120.22,$118.09
03/16/2023,$120.30,1054054,$116.38,$120.40,$116.21
03/15/2023,$115.60,1111311,$114.34,$115.70,$113.70
03/14/2023,$118.12,861994,$118.07,$118.49,$117.15
03/13/2023,$115.03,1144659,$114.31,$115.81,$113.64
03/10/2023,$115.46,1005261,$117.97,$118.015,$115.23
03/09/2023,$115.99,691873,$117.40,$118.50,$115.95
03/08/2023,$117.41,730066,$116.72,$117.55,$116.20
03/07/2023,$116.89,469634,$118.86,$118.94,$116.60
03/06/2023,$119.73,953744,$119.50,$120.21,$119.04
03/03/2023,$116.90,694527,$115.86,$116.965,$115.78
03/02/2023,$114.53,664916,$113.05,$114.6425,$113.00
03/01/2023,$114.23,848854,$115.12,$115.12,$113.40
02/28/2023,$113.82,693494,$114.07,$114.84,$113.76
02/27/2023,$115.13,579932,$115.18,$115.54,$114.74
02/24/2023,$113.18,991723,$113.96,$114.36,$112.57
02/23/2023,$116.01,784533,$116.31,$116.77,$114.86
02/22/2023,$115.26,510583,$115.53,$115.89,$114.79
02/21/2023,$114.78,867009,$115.16,$115.76,$114.72
02/17/2023,$117.35,411030,$116.51,$117.44,$116.1728
02/16/2023,$117.96,505005,$117.58,$118.62,$117.12
02/15/2023,$119.27,669453,$117.80,$119.31,$117.73
02/14/2023,$118.76,616018,$117.99,$119.64,$117.635
02/13/2023,$118.48,374226,$117.53,$118.51,$117.45
02/10/2023,$117.35,661962,$117.55,$117.85,$116.80
02/09/2023,$118.70,635978,$120.53,$120.64,$118.18
02/08/2023,$118.61,872221,$118.64,$119.51,$118.22
