Date,Close/Last,Volume,Open,High,Low
06/22/2023,$60.09,3548701,$60.27,$60.471,$60.06
06/21/2023,$60.75,4866331,$60.07,$61.17,$60.03
06/20/2023,$60.33,4645056,$60.33,$60.38,$59.58
06/16/2023,$60.35,6410520,$60.60,$60.965,$60.22
06/15/2023,$60.68,8191054,$59.90,$61.09,$59.82
06/14/2023,$59.36,7493266,$59.58,$59.99,$58.96
06/13/2023,$58.39,5433135,$58.39,$59.10,$58.28
06/12/2023,$57.82,4920785,$58.01,$58.40,$57.55
06/09/2023,$58.43,3693359,$58.26,$58.77,$57.99
06/08/2023,$58.84,6165899,$58.41,$59.00,$58.06
06/07/2023,$58.20,6636455,$57.44,$58.315,$57.43
06/06/2023,$57.70,5449934,$56.36,$57.73,$56.31
06/05/2023,$57.71,4556609,$58.35,$58.4201,$57.565
06/02/2023,$58.26,4469082,$57.86,$58.45,$57.77
06/01/2023,$57.09,4418013,$56.18,$57.41,$56.03
05/31/2023,$56.00,6159243,$56.02,$56.33,$55.775
05/30/2023,$57.49,3343556,$57.50,$57.94,$57.215
05/26/2023,$58.78,3448964,$58.76,$58.92,$58.435
05/25/2023,$58.39,5200606,$58.46,$58.60,$57.94
05/24/2023,$59.54,4587894,$59.93,$60.04,$59.29
05/23/2023,$60.36,3265973,$60.37,$60.77,$60.09
05/22/2023,$60.03,2964172,$60.12,$60.44,$59.985
05/19/2023,$60.42,3615164,$60.75,$60.955,$60.29
05/18/2023,$60.06,5674548,$60.43,$60.44,$59.58
05/17/2023,$60.79,3782456,$60.42,$60.965,$59.99
05/16/2023,$59.91,3547073,$60.34,$60.73,$59.855
05/15/2023,$60.92,2691564,$60.58,$61.15,$60.40
05/12/2023,$60.36,3007570,$60.76,$61.07,$60.14
05/11/2023,$60.34,3202373,$59.85,$60.42,$59.52
05/10/2023,$61.00,3668686,$61.56,$61.59,$60.63
05/09/2023,$60.84,3929929,$59.96,$61.135,$59.825
05/08/2023,$60.86,4120153,$61.88,$61.98,$60.77
05/05/2023,$61.13,4957648,$60.48,$61.39,$60.47
05/04/2023,$59.34,6873805,$59.33,$60.15,$59.09
05/03/2023,$58.52,6056727,$58.42,$59.09,$58.25
05/02/2023,$59.25,8409357,$60.56,$60.58,$58.625
05/01/2023,$61.38,2492270,$61.46,$62.03,$61.175
04/28/2023,$61.98,4411813,$60.81,$62.23,$60.61
04/27/2023,$60.68,4111200,$60.14,$60.93,$60.03
04/26/2023,$60.49,3463368,$61.30,$61.451,$60.28
04/25/2023,$60.71,4815114,$61.53,$61.58,$60.28
04/24/2023,$62.00,3193965,$61.26,$62.07,$61.23
04/21/2023,$61.46,3703752,$61.44,$61.58,$61.12
04/20/2023,$61.65,4531069,$60.85,$61.66,$60.83
04/19/2023,$61.50,3729779,$61.46,$61.64,$61.26
04/18/2023,$61.91,3430240,$61.40,$61.9506,$61.24
04/17/2023,$61.49,3913338,$61.57,$61.69,$61.20
04/14/2023,$62.06,3596442,$62.11,$62.31,$61.65
04/13/2023,$62.07,3582535,$61.75,$62.145,$61.56
04/12/2023,$61.38,4039765,$61.69,$61.84,$61.255
04/11/2023,$60.78,3807005,$61.00,$61.095,$60.715
