Date,Close/Last,Volume,Open,High,Low
06/22/2023,$24.88,39919,$24.79,$24.97,$24.66
06/21/2023,$24.80,40223,$24.53,$24.8694,$24.50
06/20/2023,$24.59,31360,$24.66,$24.76,$24.589
06/16/2023,$24.66,35048,$24.62,$24.91,$24.62
06/15/2023,$24.68,37446,$24.60,$24.77,$24.60
06/14/2023,$24.61,30452,$24.81,$24.88,$24.54
06/13/2023,$24.81,48044,$24.88,$24.89,$24.76
06/12/2023,$24.79,18380,$24.97,$24.995,$24.79
06/09/2023,$24.93,26553,$25.00,$25.10,$24.92
06/08/2023,$24.9494,26284,$25.05,$25.05,$24.949
06/07/2023,$25.00,34750,$25.04,$25.06,$25.00
06/06/2023,$25.07,43793,$25.05,$25.16,$25.02
06/05/2023,$25.17,36598,$25.18,$25.23,$25.09
06/02/2023,$25.21,96173,$25.06,$25.25,$25.06
06/01/2023,$25.18,54536,$25.13,$25.2395,$25.09
05/31/2023,$25.19,228726,$24.96,$25.22,$24.95
05/30/2023,$25.01,51526,$25.09,$25.09,$25.01
05/26/2023,$25.06,25446,$25.00,$25.10,$25.00
05/25/2023,$25.00,29418,$25.05,$25.10,$24.96
05/24/2023,$25.10,44591,$25.05,$25.15,$25.00
05/23/2023,$25.08,31622,$24.90,$25.09,$24.90
05/22/2023,$25.00,24231,$24.87,$25.00,$24.86
05/19/2023,$24.85,48391,$24.86,$24.86,$24.7316
05/18/2023,$24.86,45520,$24.91,$24.94,$24.82
05/17/2023,$24.95,25753,$24.79,$24.97,$24.7005
05/16/2023,$24.74,39088,$24.81,$24.8858,$24.70
05/15/2023,$24.93,20258,$24.86,$24.97,$24.86
05/12/2023,$24.88,28149,$24.88,$24.90,$24.7851
05/11/2023,$24.83,18066,$24.89,$24.90,$24.77
05/10/2023,$24.89,18837,$24.7433,$24.90,$24.7417
05/09/2023,$24.67,30192,$24.61,$24.70,$24.495
05/08/2023,$24.64,17515,$24.64,$24.7255,$24.61
05/05/2023,$24.70,35989,$24.64,$24.8378,$24.64
05/04/2023,$24.50,44279,$24.58,$24.82,$24.40
05/03/2023,$24.61,39393,$24.84,$24.985,$24.61
05/02/2023,$24.84,34257,$24.86,$24.94,$24.79
05/01/2023,$24.98,49637,$25.09,$25.09,$24.94
04/28/2023,$25.06,133298,$25.06,$25.15,$24.985
04/27/2023,$25.07,66096,$24.87,$25.11,$24.84
04/26/2023,$24.82,51201,$24.94,$25.0483,$24.8019
04/25/2023,$24.88,48678,$24.98,$25.0599,$24.88
04/24/2023,$25.01,30415,$25.03,$25.112,$24.97
04/21/2023,$25.10,76578,$25.00,$25.13,$24.98
04/20/2023,$25.00,48945,$25.03,$25.10,$24.94
04/19/2023,$25.10,122682,$25.21,$25.21,$25.02
04/18/2023,$25.21,35962,$25.22,$25.25,$25.19
04/17/2023,$25.22,28467,$25.22,$25.25,$25.1506
04/14/2023,$25.25,55057,$25.20,$25.25,$25.14
04/13/2023,$25.26,40476,$25.18,$25.28,$25.0766
04/12/2023,$25.53,80706,$25.43,$25.62,$25.38
04/11/2023,$25.41,86867,$25.25,$25.47,$25.18
04/10/2023,$25.25,120434,$25.17,$25.28,$25.11
04/06/2023,$25.21,44958,$24.97,$25.26,$24.948
04/05/2023,$25.01,33351,$24.91,$25.03,$24.85
04/04/2023,$24.96,35975,$24.94,$24.96,$24.76
04/03/2023,$24.94,83593,$24.90,$24.9507,$24.76
03/31/2023,$24.91,109547,$24.68,$24.93,$24.68
03/30/2023,$24.73,55145,$24.54,$24.73,$24.3506
03/29/2023,$24.44,47371,$24.31,$24.48,$24.20
03/28/2023,$24.19,54819,$24.16,$24.34,$24.15
03/27/2023,$24.22,43888,$24.22,$24.41,$24.16
03/24/2023,$24.09,24815,$24.14,$24.215,$24.00
03/23/2023,$24.14,27707,$24.31,$24.37,$24.11
03/22/2023,$24.23,43533,$24.08,$24.32,$24.05
03/21/2023,$24.10,47998,$24.10,$24.278,$24.0786
03/20/2023,$24.04,55660,$24.42,$24.4343,$24.00
03/17/2023,$24.35,45216,$24.57,$24.66,$24.33
03/16/2023,$24.67,63460,$23.87,$24.7172,$23.84
03/15/2023,$23.92,39948,$23.84,$23.98,$23.66
03/14/2023,$23.97,54286,$24.14,$24.1963,$23.92
03/13/2023,$23.82,81668,$24.00,$24.10,$23.68
03/10/2023,$24.18,73216,$24.11,$24.43,$24.00
03/09/2023,$24.17,36895,$24.60,$24.6447,$24.14
03/08/2023,$24.58,22526,$24.60,$24.65,$24.52
03/07/2023,$24.60,60760,$24.71,$24.71,$24.531
03/06/2023,$24.68,28611,$24.76,$24.81,$24.65
03/03/2023,$24.62,25392,$24.67,$24.81,$24.62
03/02/2023,$24.60,36691,$24.62,$24.66,$24.3801
03/01/2023,$24.75,32953,$24.84,$24.84,$24.64
02/28/2023,$24.84,102126,$24.82,$24.90,$24.7001
02/27/2023,$24.83,35690,$24.77,$24.88,$24.7497
02/24/2023,$24.70,58640,$24.60,$24.73,$24.50
02/23/2023,$24.76,68664,$24.55,$24.79,$24.50
02/22/2023,$24.48,51662,$24.16,$24.49,$24.1151
02/21/2023,$24.09,49143,$24.44,$24.44,$24.05
02/17/2023,$24.55,48071,$24.44,$24.58,$24.39
02/16/2023,$24.48,109026,$24.49,$24.66,$24.39
02/15/2023,$24.56,22488,$24.53,$24.6299,$24.50
02/14/2023,$24.53,47384,$24.53,$24.7398,$24.39
02/13/2023,$24.64,34652,$24.46,$24.64,$24.46
02/10/2023,$24.48,25196,$24.53,$24.59,$24.4195
02/09/2023,$24.50,49910,$24.78,$24.84,$24.451
02/08/2023,$24.70,33296,$24.55,$24.74,$24.52
02/07/2023,$24.60,51013,$24.67,$24.8018,$24.57
02/06/2023,$24.69,34887,$24.65,$24.7954,$24.6101
02/03/2023,$24.84,49081,$24.89,$25.0034,$24.71
02/02/2023,$25.05,46828,$25.18,$25.18,$25.02
02/01/2023,$25.08,62383,$25.07,$25.23,$24.96
01/31/2023,$25.06,229349,$24.90,$25.18,$24.86
01/30/2023,$24.83,24928,$24.80,$24.95,$24.67
01/27/2023,$24.78,66819,$25.03,$25.08,$24.78
01/26/2023,$25.02,41079,$25.01,$25.07,$24.9401
01/25/2023,$24.95,56146,$24.89,$24.99,$24.83
01/24/2023,$24.96,67247,$25.00,$25.04,$24.89
01/23/2023,$24.94,50388,$24.96,$25.14,$24.93
01/20/2023,$24.91,45079,$24.96,$24.98,$24.8001
01/19/2023,$24.92,67739,$24.80,$24.97,$24.70
01/18/2023,$24.82,80729,$24.73,$25.00,$24.73
01/17/2023,$24.64,73746,$24.54,$24.69,$24.49
01/13/2023,$24.49,86296,$24.30,$24.63,$24.30
01/12/2023,$24.69,130965,$24.49,$24.93,$24.42
01/11/2023,$24.49,43072,$24.23,$24.50,$24.23
01/10/2023,$24.19,19592,$24.21,$24.25,$24.09
01/09/2023,$24.16,61977,$24.24,$24.3923,$24.04
01/06/2023,$24.22,59468,$24.03,$24.25,$23.8677
01/05/2023,$23.84,36481,$23.58,$23.90,$23.58
01/04/2023,$23.67,54112,$23.14,$23.71,$23.14
01/03/2023,$22.99,49193,$22.92,$23.36,$22.875
12/30/2022,$22.70,101234,$22.98,$23.075,$22.68
12/29/2022,$22.98,62038,$23.07,$23.26,$22.90
12/28/2022,$22.99,54721,$23.47,$23.475,$22.99
12/27/2022,$23.42,62095,$23.75,$23.858,$23.42
12/23/2022,$23.84,146577,$23.97,$23.97,$23.80
12/22/2022,$23.88,63012,$23.97,$24.0201,$23.72
12/21/2022,$24.02,47972,$24.07,$24.1133,$24.00
12/20/2022,$24.00,47250,$23.93,$24.0399,$23.8601
12/19/2022,$23.93,41041,$23.99,$24.0786,$23.90
12/16/2022,$23.95,49570,$23.95,$24.00,$23.8501
12/15/2022,$24.00,84718,$23.94,$24.09,$23.92
12/14/2022,$24.03,70130,$23.95,$24.11,$23.903
12/13/2022,$23.90,49594,$24.00,$24.0999,$23.77
12/12/2022,$23.58,98971,$23.68,$23.75,$23.58
12/09/2022,$23.68,30764,$23.86,$23.90,$23.65
12/08/2022,$23.86,60266,$23.85,$23.98,$23.83
12/07/2022,$23.82,40602,$23.84,$23.93,$23.71
12/06/2022,$23.83,37450,$23.86,$23.99,$23.65
12/05/2022,$23.86,78737,$24.22,$24.4229,$23.76
12/02/2022,$24.32,27629,$24.14,$24.45,$24.14
12/01/2022,$24.2221,53493,$24.25,$24.25,$24.00
11/30/2022,$24.05,91404,$23.69,$24.14,$23.65
11/29/2022,$23.62,60908,$24.04,$24.04,$23.62
11/28/2022,$24.03,39011,$24.02,$24.09,$23.96
11/25/2022,$24.01,11329,$24.07,$24.0776,$24.00
11/23/2022,$23.9995,49764,$23.80,$24.15,$23.80
11/22/2022,$23.86,35586,$23.81,$23.94,$23.80
11/21/2022,$23.86,58946,$23.73,$23.89,$23.69
11/18/2022,$23.72,28277,$23.79,$23.79,$23.66
11/17/2022,$23.74,20592,$23.69,$23.75,$23.62
11/16/2022,$23.80,37823,$23.80,$23.91,$23.6519
11/15/2022,$23.87,90246,$23.41,$23.88,$23.36
11/14/2022,$23.26,25328,$23.37,$23.4745,$23.1851
11/11/2022,$23.44,42488,$23.44,$23.76,$23.42
11/10/2022,$23.51,52417,$22.58,$23.52,$22.58
11/09/2022,$22.30,51808,$22.40,$22.56,$22.12
11/08/2022,$22.40,38661,$22.15,$22.46,$22.13
11/07/2022,$22.05,48779,$22.02,$22.12,$21.97
11/04/2022,$21.99,63120,$22.28,$22.3291,$21.87
11/03/2022,$22.18,54642,$22.19,$22.35,$22.15
11/02/2022,$22.27,53533,$22.28,$22.49,$22.16
11/01/2022,$22.16,105875,$22.57,$22.64,$22.16
10/31/2022,$22.37,187178,$22.84,$22.92,$22.23
10/28/2022,$22.83,22081,$22.80,$22.8799,$22.80
10/27/2022,$22.77,41298,$22.74,$22.84,$22.71
10/26/2022,$22.63,31706,$22.56,$22.70,$22.56
10/25/2022,$22.51,68004,$22.35,$22.58,$22.35
10/24/2022,$22.23,40841,$22.13,$22.335,$22.13
10/21/2022,$22.13,44441,$22.16,$22.38,$22.10
10/20/2022,$22.23,37596,$22.68,$22.83,$22.23
10/19/2022,$22.70,24132,$22.80,$22.885,$22.66
10/18/2022,$22.87,64848,$23.10,$23.16,$22.84
10/17/2022,$23.05,27526,$23.24,$23.33,$23.02
10/14/2022,$23.12,37844,$23.40,$23.4499,$23.11
10/13/2022,$23.58,81947,$23.58,$23.70,$23.41
10/12/2022,$23.80,21818,$23.84,$23.90,$23.80
10/11/2022,$23.89,39159,$23.86,$24.05,$23.80
10/10/2022,$23.86,30065,$24.12,$24.20,$23.86
10/07/2022,$24.12,22899,$24.36,$24.36,$24.119
10/06/2022,$24.45,21688,$24.59,$24.68,$24.45
