Date,Close/Last,Volume,Open,High,Low
06/22/2023,$528.31,945607,$526.15,$530.00,$521.45
06/21/2023,$525.95,1617847,$524.99,$530.45,$522.76
06/20/2023,$527.40,2115471,$512.00,$530.7934,$507.15
06/16/2023,$537.30,3427995,$538.72,$542.075,$533.3955
06/15/2023,$535.11,1723417,$520.16,$536.295,$518.915
06/14/2023,$520.12,1996530,$527.83,$528.03,$518.66
06/13/2023,$526.05,1328879,$525.48,$527.41,$523.02
06/12/2023,$523.69,1246177,$519.99,$524.74,$516.67
06/09/2023,$518.18,1041802,$517.96,$521.79,$514.625
06/08/2023,$515.25,1580511,$520.65,$522.75,$515.16
06/07/2023,$520.78,1649452,$514.53,$523.21,$512.60
06/06/2023,$516.26,1723023,$522.00,$523.19,$512.70
06/05/2023,$518.58,1477444,$524.06,$524.4593,$513.42
06/02/2023,$520.14,2564327,$524.58,$527.16,$518.665
06/01/2023,$519.38,1830129,$513.13,$521.65,$508.51
05/31/2023,$508.46,4052168,$513.67,$513.67,$501.66
05/30/2023,$514.22,1793841,$523.82,$526.44,$513.11
05/26/2023,$522.02,1603685,$527.68,$532.71,$521.82
05/25/2023,$520.64,2262230,$513.97,$522.31,$510.30
05/24/2023,$510.72,2482840,$510.00,$514.50,$498.50
05/23/2023,$525.10,1629490,$526.35,$529.30,$519.7101
05/22/2023,$529.02,1160987,$527.42,$534.64,$527.36
05/19/2023,$527.38,1313290,$523.04,$531.74,$522.67
05/18/2023,$523.54,1073305,$520.79,$524.64,$518.66
05/17/2023,$521.67,1284655,$522.36,$527.38,$512.93
05/16/2023,$519.75,903521,$521.26,$522.70,$519.17
05/15/2023,$523.68,1383771,$524.25,$525.28,$520.135
05/12/2023,$524.65,1518187,$531.75,$534.97,$521.44
05/11/2023,$529.79,2326346,$532.09,$535.74,$525.06
05/10/2023,$533.50,1586150,$539.39,$539.925,$530.00
05/09/2023,$534.66,1225176,$535.04,$537.47,$529.22
05/08/2023,$542.58,1029103,$549.45,$550.00,$541.09
05/05/2023,$546.38,962425,$553.06,$554.40,$541.92
05/04/2023,$545.64,1243493,$552.60,$553.9021,$542.72
05/03/2023,$550.42,1430255,$550.05,$558.20,$549.235
05/02/2023,$543.82,1060980,$544.85,$551.51,$540.93
05/01/2023,$548.50,1979848,$555.99,$556.81,$545.31
04/28/2023,$554.90,2046904,$543.32,$559.20,$543.32
04/27/2023,$543.02,2148400,$533.50,$545.67,$531.58
04/26/2023,$533.13,4020124,$528.00,$543.38,$517.22
04/25/2023,$548.38,2495509,$564.15,$566.50,$545.50
04/24/2023,$574.30,895100,$571.52,$576.445,$570.00
04/21/2023,$571.68,959179,$568.87,$572.99,$566.83
04/20/2023,$565.93,2100877,$566.00,$567.84,$560.36
04/19/2023,$579.92,1409401,$575.79,$580.715,$571.33
04/18/2023,$584.86,1158657,$593.17,$593.17,$584.68
04/17/2023,$588.60,783525,$590.14,$590.39,$584.24
04/14/2023,$588.84,834872,$586.40,$589.543,$582.01
04/13/2023,$591.13,1102057,$585.26,$592.12,$582.00
04/12/2023,$579.35,847811,$583.25,$586.65,$577.65
04/11/2023,$576.38,1158819,$576.48,$581.55,$574.395
04/10/2023,$574.36,672576,$572.73,$574.36,$565.285
04/06/2023,$575.35,780743,$580.85,$581.775,$572.34
04/05/2023,$579.86,1035629,$576.51,$580.10,$569.92
04/04/2023,$576.18,1085578,$571.39,$580.24,$568.94
04/03/2023,$570.07,1034443,$569.51,$573.11,$566.12
03/31/2023,$576.37,1438708,$566.97,$576.68,$563.66
03/30/2023,$562.97,1219932,$560.00,$564.28,$556.86
03/29/2023,$555.15,1239558,$559.36,$560.565,$553.22
03/28/2023,$554.23,828932,$559.99,$562.70,$550.94
03/27/2023,$561.69,865620,$563.80,$568.17,$561.025
03/24/2023,$558.26,1012596,$548.52,$558.66,$544.31
03/23/2023,$555.19,951581,$557.98,$560.575,$550.38
03/22/2023,$554.32,928425,$556.70,$568.00,$554.29
03/21/2023,$556.70,1000091,$554.38,$558.79,$551.66
03/20/2023,$550.57,897151,$546.76,$554.8712,$545.5777
