Date,Close/Last,Volume,Open,High,Low
06/22/2023,$134.34,4841715,$132.96,$134.48,$132.68
06/21/2023,$132.68,6577807,$131.00,$133.85,$130.99
06/20/2023,$131.23,7027608,$131.37,$131.90,$129.84
06/16/2023,$130.93,13014800,$131.16,$132.07,$130.69
06/15/2023,$132.76,8904764,$130.51,$133.25,$129.60
06/14/2023,$128.05,8696303,$129.52,$129.70,$127.72
06/13/2023,$129.88,5139114,$130.70,$130.70,$129.15
06/12/2023,$130.78,4452343,$131.69,$131.80,$129.46
06/09/2023,$131.36,5623021,$130.42,$131.90,$130.00
06/08/2023,$130.32,8761642,$128.00,$130.41,$127.79
06/07/2023,$126.55,11273670,$128.84,$129.00,$126.05
06/06/2023,$128.54,11129200,$131.19,$131.915,$127.39
06/05/2023,$132.22,9068413,$132.00,$133.01,$130.89
06/02/2023,$131.19,37260240,$129.00,$131.35,$124.9199
06/01/2023,$138.91,6245595,$137.36,$139.20,$137.18
05/31/2023,$137.25,7811230,$136.14,$138.73,$135.32
05/30/2023,$135.12,6874746,$134.17,$135.79,$133.71
05/26/2023,$135.15,8849023,$135.24,$136.48,$134.10
05/25/2023,$135.76,9328447,$136.43,$137.30,$134.92
05/24/2023,$140.00,4794589,$141.40,$141.67,$139.89
05/23/2023,$141.37,5300177,$140.93,$141.77,$140.315
05/22/2023,$141.60,8884932,$139.85,$142.17,$136.93
05/19/2023,$139.03,7738251,$138.63,$140.15,$138.02
05/18/2023,$138.18,11619820,$140.49,$140.85,$136.335
05/17/2023,$141.58,6752847,$144.44,$144.50,$140.86
05/16/2023,$143.70,3657896,$144.52,$144.94,$142.87
05/15/2023,$144.62,4065227,$143.74,$144.84,$143.40
05/12/2023,$144.12,3914830,$142.95,$144.225,$142.77
05/11/2023,$142.70,4137753,$141.72,$143.41,$141.72
05/10/2023,$142.03,4738085,$142.50,$143.25,$140.99
05/09/2023,$142.03,5038335,$143.81,$144.08,$141.75
05/08/2023,$144.18,4526481,$144.00,$144.31,$142.72
05/05/2023,$143.56,5091955,$141.50,$143.90,$141.12
05/04/2023,$141.26,4849285,$140.13,$141.76,$140.13
05/03/2023,$139.91,5568409,$140.59,$141.22,$139.69
05/02/2023,$140.36,6764575,$143.00,$143.20,$140.09
05/01/2023,$143.21,5810901,$144.53,$144.57,$142.61
04/28/2023,$143.90,9431708,$146.50,$147.02,$143.345
04/27/2023,$149.94,6332780,$148.85,$150.45,$148.76
04/26/2023,$148.28,4522492,$146.19,$148.94,$145.6625
04/25/2023,$148.00,6394498,$146.27,$149.18,$146.195
04/24/2023,$145.86,3889320,$146.13,$146.7699,$145.62
04/21/2023,$146.22,4323628,$144.90,$146.575,$144.90
04/20/2023,$145.94,6716112,$146.79,$147.75,$144.89
04/19/2023,$148.78,4931650,$150.24,$150.48,$148.65
04/18/2023,$150.32,3267591,$151.13,$151.66,$150.1026
04/17/2023,$150.49,2888531,$150.37,$150.50,$149.59
04/14/2023,$149.59,3227476,$149.79,$150.15,$149.20
04/13/2023,$150.37,3491048,$149.67,$150.56,$148.83
04/12/2023,$149.51,4717296,$149.71,$150.70,$149.25
04/11/2023,$149.95,5550202,$150.00,$150.29,$149.53
04/10/2023,$149.99,4984464,$149.15,$150.00,$147.88
04/06/2023,$149.61,4263747,$149.40,$149.95,$148.435
04/05/2023,$149.12,8223825,$147.02,$150.06,$147.02
04/04/2023,$146.31,6954973,$145.59,$146.375,$142.77
04/03/2023,$146.76,5674617,$145.00,$146.80,$144.5075
