Date,Close/Last,Volume,Open,High,Low
06/22/2023,$157.11,199543,$157.01,$157.79,$156.725
06/21/2023,$156.50,238628,$157.00,$157.3399,$156.15
06/20/2023,$157.15,781256,$158.70,$159.00,$156.817
06/16/2023,$164.35,420682,$166.01,$166.15,$164.23
06/15/2023,$168.18,569443,$164.14,$169.0725,$164.00
06/14/2023,$165.57,952777,$165.89,$166.48,$164.15
06/13/2023,$158.08,858242,$157.89,$159.10,$157.29
06/12/2023,$149.59,289818,$149.10,$149.88,$148.74
06/09/2023,$148.64,366654,$148.00,$149.14,$147.9141
06/08/2023,$146.86,264153,$145.07,$147.00,$145.03
06/07/2023,$145.31,417932,$145.23,$146.03,$145.19
06/06/2023,$148.48,435150,$147.00,$148.79,$146.13
06/05/2023,$145.73,299172,$145.82,$146.45,$145.46
06/02/2023,$146.00,353614,$145.00,$146.39,$145.00
06/01/2023,$140.65,300123,$139.65,$140.86,$139.22
05/31/2023,$136.13,256880,$136.46,$136.5719,$135.145
05/30/2023,$137.73,231758,$139.56,$139.56,$137.37
05/26/2023,$140.08,171735,$139.16,$140.44,$139.08
05/25/2023,$139.60,197471,$139.11,$139.98,$138.81
05/24/2023,$139.33,223533,$140.38,$140.38,$139.1401
05/23/2023,$139.55,230016,$138.55,$140.325,$138.51
05/22/2023,$141.19,194453,$141.66,$141.705,$140.83
05/19/2023,$142.22,178410,$142.07,$142.4399,$141.71
05/18/2023,$142.51,188971,$142.76,$142.765,$141.64
05/17/2023,$142.02,164690,$141.13,$142.175,$141.13
05/16/2023,$141.13,165822,$141.59,$141.715,$141.00
05/15/2023,$142.40,246196,$141.89,$142.41,$141.28
05/12/2023,$143.27,293093,$144.20,$144.85,$142.78
05/11/2023,$142.67,272488,$141.91,$142.68,$141.25
05/10/2023,$143.59,506704,$143.94,$144.23,$143.02
05/09/2023,$140.85,401254,$141.44,$141.7599,$140.58
05/08/2023,$137.81,187648,$137.85,$138.20,$137.2901
05/05/2023,$137.54,223904,$136.21,$137.931,$135.73
05/04/2023,$134.91,241877,$135.20,$135.77,$134.88
05/03/2023,$135.57,265960,$135.91,$136.425,$135.31
05/02/2023,$135.16,221727,$135.30,$135.42,$134.25
05/01/2023,$136.69,147358,$137.33,$137.594,$136.55
04/28/2023,$137.33,296604,$136.62,$137.34,$136.29
04/27/2023,$137.52,323572,$135.76,$137.84,$135.76
