Date,Close/Last,Volume,Open,High,Low
06/22/2023,$264.61,166875900,$250.77,$265.00,$248.25
06/21/2023,$259.46,211797100,$275.13,$276.99,$257.78
06/20/2023,$274.45,165611200,$261.50,$274.75,$261.12
06/16/2023,$260.54,167915600,$258.92,$263.60,$257.2091
06/15/2023,$255.90,160171200,$248.40,$258.95,$247.29
06/14/2023,$256.79,170575500,$260.17,$261.57,$250.50
06/13/2023,$258.71,162384300,$253.51,$259.68,$251.34
06/12/2023,$249.83,150740500,$247.94,$250.97,$244.59
06/09/2023,$244.40,200242400,$249.07,$252.42,$242.02
06/08/2023,$234.86,164489700,$224.22,$235.23,$223.01
06/07/2023,$224.57,185710800,$228.00,$230.8296,$223.20
06/06/2023,$221.31,146911600,$216.14,$221.91,$212.53
06/05/2023,$217.61,151143100,$217.80,$221.29,$214.52
06/02/2023,$213.97,164398400,$210.15,$217.25,$209.752
06/01/2023,$207.52,148029900,$202.59,$209.80,$199.37
05/31/2023,$203.93,150711700,$199.78,$203.95,$195.12
05/30/2023,$201.16,128818700,$200.10,$204.48,$197.53
05/26/2023,$193.17,162061500,$184.62,$198.60,$184.53
05/25/2023,$184.47,96870720,$186.54,$186.78,$180.58
05/24/2023,$182.90,137605100,$182.23,$184.22,$178.22
05/23/2023,$185.77,156952100,$186.20,$192.96,$185.26
05/22/2023,$188.87,132001400,$180.70,$189.32,$180.11
05/19/2023,$180.14,136196700,$177.17,$181.95,$176.31
05/18/2023,$176.89,109520300,$174.22,$177.06,$172.45
05/17/2023,$173.86,125473600,$168.41,$174.50,$167.185
05/16/2023,$166.52,98288790,$165.65,$169.5184,$164.35
05/15/2023,$166.35,105592500,$167.655,$169.76,$164.5499
05/12/2023,$167.98,157849600,$176.07,$177.38,$167.23
05/11/2023,$172.08,103889900,$168.70,$173.57,$166.79
05/10/2023,$168.54,119840700,$172.55,$174.43,$166.68
05/09/2023,$169.15,88965040,$168.95,$169.82,$166.56
05/08/2023,$171.79,112249400,$173.72,$173.80,$169.19
05/05/2023,$170.06,107607300,$163.97,$170.7899,$163.51
05/04/2023,$161.20,95108490,$162.71,$162.95,$159.65
05/03/2023,$160.61,119728000,$160.01,$165.00,$159.91
05/02/2023,$160.31,128259700,$161.88,$165.49,$158.93
05/01/2023,$161.83,109015000,$163.17,$163.28,$158.83
04/28/2023,$164.31,122515800,$160.90,$165.00,$157.32
04/27/2023,$160.19,127015200,$152.64,$160.48,$152.37
04/26/2023,$153.75,153364100,$160.29,$160.67,$153.14
04/25/2023,$160.67,121999300,$159.82,$163.47,$158.75
04/24/2023,$162.55,140006600,$164.65,$165.65,$158.61
04/21/2023,$165.08,123539000,$164.80,$166.00,$161.3208
04/20/2023,$162.99,210970800,$166.165,$169.70,$160.56
04/19/2023,$180.59,125732700,$179.10,$183.50,$177.65
04/18/2023,$184.31,92067020,$187.15,$187.69,$183.5775
04/17/2023,$187.04,116662200,$186.32,$189.69,$182.69
