Date,Close/Last,Volume,Open,High,Low
06/22/2023,$172.63,3608284,$170.00,$172.66,$169.81
06/21/2023,$170.48,4034292,$172.50,$173.595,$170.38
06/20/2023,$174.36,3516105,$174.94,$177.03,$173.43
06/16/2023,$176.76,10374680,$179.45,$179.83,$176.26
06/15/2023,$178.09,4224200,$176.24,$179.40,$175.89
06/14/2023,$177.12,4748485,$175.82,$178.27,$174.79
06/13/2023,$177.41,5408141,$176.56,$178.31,$174.32
06/12/2023,$174.04,4709261,$171.53,$174.275,$171.38
06/09/2023,$170.59,4179209,$173.43,$173.82,$169.48
06/08/2023,$172.23,3344038,$173.07,$173.84,$171.415
06/07/2023,$172.00,4422680,$171.17,$173.79,$170.45
06/06/2023,$170.36,4032555,$169.40,$171.54,$168.9035
06/05/2023,$170.26,5520407,$175.19,$175.19,$169.7695
06/02/2023,$175.23,4788025,$176.50,$176.625,$174.10
06/01/2023,$175.81,3955414,$175.87,$176.45,$172.90
05/31/2023,$173.88,8533952,$174.78,$175.80,$173.16
05/30/2023,$176.55,5677278,$177.83,$178.19,$175.03
05/26/2023,$176.29,8323156,$171.32,$177.05,$170.67
05/25/2023,$169.62,7747221,$165.00,$170.51,$163.60
05/24/2023,$167.07,7502471,$166.94,$168.51,$166.19
05/23/2023,$169.74,5601445,$169.79,$170.74,$169.22
05/22/2023,$170.86,3334026,$169.77,$171.11,$169.05
05/19/2023,$170.11,4790622,$170.59,$170.99,$168.94
05/18/2023,$169.81,4916286,$166.32,$170.17,$166.08
05/17/2023,$165.34,4910377,$164.50,$165.67,$163.0748
05/16/2023,$163.38,4274097,$165.00,$166.05,$162.86
05/15/2023,$165.26,3789239,$161.39,$165.48,$160.63
05/12/2023,$161.88,2400809,$162.11,$162.96,$160.37
05/11/2023,$161.17,3320551,$162.27,$162.42,$159.94
05/10/2023,$163.05,4428851,$164.81,$165.00,$161.035
05/09/2023,$163.00,5736844,$162.23,$163.49,$162.01
05/08/2023,$164.22,3831469,$165.82,$166.60,$163.39
05/05/2023,$165.82,5494735,$161.46,$166.01,$161.21
05/04/2023,$162.30,4308975,$163.39,$163.87,$161.36
05/03/2023,$163.35,4398787,$164.92,$165.99,$163.27
05/02/2023,$163.94,7312375,$166.34,$167.4883,$162.79
05/01/2023,$166.68,4831344,$168.21,$168.30,$166.12
04/28/2023,$167.20,6575445,$164.85,$167.52,$164.85
04/27/2023,$165.27,6697905,$162.73,$165.61,$161.10
04/26/2023,$164.46,8647518,$170.97,$170.97,$163.655
04/25/2023,$169.39,7135959,$175.59,$176.04,$169.34
04/24/2023,$175.90,3360148,$177.14,$177.43,$175.3401
04/21/2023,$177.02,6791989,$175.60,$177.56,$174.86
04/20/2023,$176.62,4710817,$174.42,$178.31,$173.53
