Date,Close/Last,Volume,Open,High,Low
06/22/2023,$51.68,1914951,$51.60,$51.73,$51.445
06/21/2023,$51.83,1783133,$51.48,$51.86,$51.345
06/20/2023,$51.52,2697997,$51.76,$51.95,$51.51
06/16/2023,$51.93,2911376,$51.91,$52.02,$51.755
06/15/2023,$51.38,2948710,$51.12,$51.41,$50.97
06/14/2023,$50.22,2663166,$50.16,$50.405,$50.095
06/13/2023,$50.01,2086175,$49.74,$50.08,$49.695
06/12/2023,$49.88,2279143,$50.14,$50.15,$49.78
06/09/2023,$49.84,1478394,$49.78,$49.9178,$49.719
06/08/2023,$50.17,2721316,$50.01,$50.21,$49.965
06/07/2023,$49.93,2579961,$50.32,$50.385,$49.91
06/06/2023,$50.29,1571140,$50.26,$50.32,$50.05
06/05/2023,$50.39,1541234,$50.58,$50.86,$50.33
06/02/2023,$50.63,3641174,$50.50,$50.65,$50.3921
06/01/2023,$50.12,3673995,$50.26,$50.435,$50.05
05/31/2023,$49.94,2537461,$50.18,$50.28,$49.78
05/30/2023,$49.97,2740902,$50.39,$50.43,$49.885
05/26/2023,$51.35,2172163,$51.30,$51.5167,$51.245
05/25/2023,$51.32,1864570,$51.06,$51.445,$50.925
05/24/2023,$51.61,2719706,$51.39,$51.775,$51.18
05/23/2023,$52.12,1840123,$52.45,$52.455,$52.10
05/22/2023,$52.34,1753777,$52.67,$52.77,$52.34
05/19/2023,$53.26,1386768,$53.20,$53.375,$53.085
05/18/2023,$52.83,1771450,$53.05,$53.13,$52.605
05/17/2023,$53.88,1550766,$54.08,$54.08,$53.585
05/16/2023,$53.94,1631507,$54.25,$54.30,$53.93
05/15/2023,$54.27,1323013,$54.32,$54.32,$54.08
05/12/2023,$54.21,1284281,$54.09,$54.295,$54.03
05/11/2023,$54.28,1551288,$54.17,$54.38,$54.0401
05/10/2023,$54.13,2774514,$54.12,$54.20,$53.835
05/09/2023,$54.82,2542396,$54.89,$55.08,$54.75
05/08/2023,$55.32,1541703,$55.56,$55.635,$55.25
05/05/2023,$55.56,1459200,$55.20,$55.695,$55.06
05/04/2023,$55.41,2020214,$55.46,$55.545,$55.21
05/03/2023,$55.49,1924791,$55.75,$55.77,$55.40
05/02/2023,$55.43,1913042,$54.99,$55.47,$54.89
05/01/2023,$55.34,1197510,$55.46,$55.70,$55.28
04/28/2023,$55.53,1848612,$55.92,$55.9886,$55.46
04/27/2023,$55.49,1878104,$55.31,$55.565,$55.09
04/26/2023,$54.39,1979007,$54.87,$54.92,$54.25
04/25/2023,$54.70,2100839,$54.50,$54.85,$54.44
04/24/2023,$54.55,2006363,$54.50,$54.69,$54.44
04/21/2023,$54.51,2535079,$54.54,$54.75,$54.245
04/20/2023,$54.28,1505597,$54.14,$54.36,$54.11
04/19/2023,$53.86,1719757,$54.16,$54.235,$53.84
04/18/2023,$53.78,2735533,$53.58,$53.805,$53.545
04/17/2023,$53.78,1475303,$53.97,$54.03,$53.63
04/14/2023,$53.58,1520008,$53.64,$53.81,$53.42
04/13/2023,$54.11,2196620,$53.76,$54.155,$53.71
04/12/2023,$53.43,1490892,$53.48,$53.70,$53.40
04/11/2023,$53.32,1437603,$53.44,$53.48,$53.28
04/10/2023,$53.58,1786489,$53.38,$53.62,$52.811
04/06/2023,$53.58,1963946,$53.62,$53.77,$53.50
04/05/2023,$53.32,2666421,$53.19,$53.49,$53.15
04/04/2023,$52.94,2438526,$52.75,$53.06,$52.68
04/03/2023,$52.70,2744766,$51.96,$52.74,$51.80
03/31/2023,$51.93,1602786,$52.14,$52.21,$51.74
03/30/2023,$51.98,1518460,$51.80,$51.995,$51.77
03/29/2023,$51.65,2872707,$52.00,$52.06,$51.53
03/28/2023,$51.88,2257885,$51.99,$52.03,$51.75
03/27/2023,$51.71,2087259,$51.82,$51.92,$51.655
03/24/2023,$51.39,1818694,$51.39,$51.505,$51.105
03/23/2023,$50.98,1798260,$51.21,$51.49,$50.845
03/22/2023,$50.96,2529614,$51.01,$51.50,$50.935
03/21/2023,$50.56,2609295,$50.63,$50.66,$50.21
03/20/2023,$49.99,2706752,$49.82,$50.16,$49.695
03/17/2023,$49.15,3939970,$49.34,$49.37,$48.97
03/16/2023,$49.72,1898782,$49.58,$49.82,$49.45
03/15/2023,$49.03,2674254,$48.60,$49.135,$48.57
03/14/2023,$49.67,1893392,$49.29,$49.70,$49.11
03/13/2023,$49.14,2825209,$49.56,$49.746,$49.09
03/10/2023,$48.74,1751044,$49.28,$49.35,$48.63
03/09/2023,$48.73,1512475,$49.14,$49.17,$48.665
03/08/2023,$48.85,1111900,$48.83,$48.945,$48.6599
03/07/2023,$48.68,1908553,$49.45,$49.515,$48.60
03/06/2023,$49.50,2265666,$49.42,$49.71,$49.34
03/03/2023,$49.84,2410737,$49.93,$49.995,$49.665
03/02/2023,$50.40,1769872,$49.72,$50.435,$49.70
03/01/2023,$49.89,1556035,$49.95,$50.01,$49.64
02/28/2023,$49.93,1243770,$50.08,$50.20,$49.905
02/27/2023,$50.50,1235477,$50.58,$50.635,$50.405
02/24/2023,$50.28,1482697,$50.06,$50.32,$49.96
02/23/2023,$50.70,1627528,$50.66,$50.78,$50.405
02/22/2023,$51.28,1713982,$51.55,$51.655,$51.26
