Date,Close/Last,Volume,Open,High,Low
06/22/2023,$479.05,3179488,$478.18,$483.18,$478.00
06/21/2023,$476.75,4886662,$468.95,$479.365,$467.19
06/20/2023,$469.39,4598303,$456.75,$470.49,$456.75
06/16/2023,$458.49,7699120,$466.14,$468.515,$457.93
06/15/2023,$465.89,6798125,$461.99,$472.00,$460.91
06/14/2023,$459.86,14672360,$454.64,$460.63,$445.68
06/13/2023,$491.31,3016633,$490.87,$494.66,$488.66
06/12/2023,$492.59,2207832,$492.30,$494.45,$488.7201
06/09/2023,$493.62,3174372,$489.99,$498.2194,$487.225
06/08/2023,$490.23,2726055,$484.39,$491.82,$482.43
06/07/2023,$482.13,4381722,$489.95,$490.4399,$481.60
06/06/2023,$487.57,3816607,$499.90,$499.90,$483.665
06/05/2023,$498.19,2688805,$500.70,$502.90,$497.415
06/02/2023,$499.58,3064711,$492.00,$501.02,$490.36
06/01/2023,$493.63,3376556,$487.79,$498.78,$486.11
05/31/2023,$487.24,4944096,$478.12,$487.40,$477.11
05/30/2023,$479.85,3180817,$476.68,$485.87,$476.03
05/26/2023,$481.52,3135257,$478.06,$488.39,$478.00
05/25/2023,$477.70,2684136,$477.63,$481.77,$474.30
05/24/2023,$480.83,1904673,$480.61,$483.28,$478.89
05/23/2023,$479.44,2874407,$476.18,$483.39,$472.544
05/22/2023,$480.62,2242831,$480.44,$482.2044,$477.91
05/19/2023,$478.82,2318047,$479.58,$484.80,$477.81
05/18/2023,$479.23,3040115,$482.05,$482.55,$473.89
05/17/2023,$484.81,2682082,$480.00,$485.40,$477.54
05/16/2023,$479.72,2179518,$487.62,$489.21,$479.01
05/15/2023,$486.86,2169713,$491.40,$491.79,$483.70
05/12/2023,$491.23,1536748,$488.76,$492.90,$487.745
05/11/2023,$488.76,2384419,$488.00,$490.12,$485.66
05/10/2023,$490.07,2018899,$489.40,$493.465,$487.64
05/09/2023,$490.38,2038644,$492.84,$499.40,$490.30
05/08/2023,$492.62,1738461,$492.04,$494.35,$488.32
05/05/2023,$494.28,2329402,$494.06,$500.85,$492.03
05/04/2023,$487.28,2555690,$487.05,$489.69,$481.95
05/03/2023,$489.44,1749709,$494.40,$495.45,$488.03
05/02/2023,$493.39,2152342,$495.25,$496.71,$489.27
05/01/2023,$495.70,2105592,$494.59,$499.385,$491.8091
04/28/2023,$492.09,2398914,$488.69,$493.96,$488.12
04/27/2023,$490.47,2473223,$482.20,$490.98,$482.20
04/26/2023,$482.95,2929969,$485.87,$487.70,$478.36
04/25/2023,$491.92,2937292,$492.68,$498.5026,$490.58
04/24/2023,$488.94,2322433,$483.41,$490.22,$482.6481
04/21/2023,$483.82,3165280,$490.04,$490.73,$482.14
04/20/2023,$487.46,3283234,$485.47,$489.65,$483.26
04/19/2023,$486.20,5809078,$500.65,$501.97,$483.625
04/18/2023,$504.48,3232033,$503.67,$506.99,$498.14
04/17/2023,$505.35,3660940,$508.72,$509.59,$502.75
04/14/2023,$511.79,4871970,$522.00,$527.24,$508.50
04/13/2023,$526.23,4224353,$523.91,$530.45,$520.50
04/12/2023,$521.19,3422561,$524.98,$526.70,$520.04
04/11/2023,$520.97,3065335,$516.14,$522.22,$515.22
04/10/2023,$515.18,2714548,$510.81,$515.39,$508.09
04/06/2023,$512.81,3472551,$511.00,$514.24,$507.1519
04/05/2023,$509.23,4964776,$497.39,$511.74,$496.10
04/04/2023,$493.25,2624755,$493.03,$496.095,$491.84
04/03/2023,$494.19,4729089,$485.20,$496.13,$483.4901
03/31/2023,$472.59,3996695,$471.52,$475.995,$470.10
03/30/2023,$470.06,3324845,$466.57,$470.4099,$461.075
03/29/2023,$466.59,3733210,$475.11,$475.88,$464.95
03/28/2023,$472.58,2369491,$482.00,$483.79,$470.69
03/27/2023,$481.90,2271779,$485.55,$486.29,$478.59
03/24/2023,$475.99,2533418,$468.98,$476.88,$467.59
03/23/2023,$469.91,3284884,$477.41,$480.67,$466.67
03/22/2023,$475.52,2632211,$481.95,$485.74,$474.82
03/21/2023,$480.10,3163424,$478.39,$481.45,$475.72
03/20/2023,$476.96,3119552,$470.00,$479.82,$470.00
03/17/2023,$469.50,5289996,$471.39,$472.01,$466.30
03/16/2023,$472.02,2941004,$464.71,$473.39,$463.10
03/15/2023,$465.43,3770207,$460.99,$468.879,$459.24
03/14/2023,$464.58,3258220,$464.65,$469.8393,$459.05
03/13/2023,$463.68,2971643,$458.65,$470.37,$458.65
03/10/2023,$460.33,3787451,$462.77,$468.86,$457.59
03/09/2023,$464.91,2780394,$473.95,$473.95,$463.75
03/08/2023,$470.60,3036582,$471.75,$475.39,$466.76
03/07/2023,$473.88,2589219,$482.98,$483.82,$472.56
03/06/2023,$480.78,3812682,$481.37,$484.35,$479.00
03/03/2023,$478.56,2863285,$477.94,$479.10,$474.22
03/02/2023,$477.70,2189176,$475.21,$480.43,$473.25
03/01/2023,$475.22,2996913,$473.61,$478.405,$472.00
02/28/2023,$475.94,3902052,$482.67,$483.36,$473.92
02/27/2023,$483.32,3006212,$488.77,$490.94,$481.96
02/24/2023,$484.33,2940610,$489.58,$492.51,$483.01
02/23/2023,$491.69,2511809,$486.66,$493.33,$485.8665
02/22/2023,$488.89,2982761,$492.81,$493.89,$488.67
02/21/2023,$491.31,2877341,$496.70,$501.395,$490.50
02/17/2023,$499.08,3891503,$487.38,$499.46,$487.35
02/16/2023,$487.35,2611457,$491.15,$494.00,$487.27
02/15/2023,$491.25,2243051,$489.65,$491.83,$488.39
02/14/2023,$492.83,2072571,$494.29,$497.9535,$489.09
02/13/2023,$495.35,2589104,$494.00,$499.865,$491.76
02/10/2023,$494.25,3418087,$489.13,$495.66,$488.75
02/09/2023,$485.73,3664633,$485.63,$489.695,$482.40
02/08/2023,$483.22,3466399,$475.47,$485.035,$475.11
02/07/2023,$476.88,3394630,$471.04,$478.08,$469.0301
02/06/2023,$475.24,4174173,$472.00,$478.965,$471.01
02/03/2023,$472.02,5440070,$475.23,$478.78,$469.75
02/02/2023,$470.83,11169880,$494.26,$495.00,$463.89
02/01/2023,$497.00,3451202,$499.95,$504.38,$495.67
01/31/2023,$499.19,5567038,$498.00,$505.50,$493.13
01/30/2023,$485.79,3606855,$487.81,$495.25,$484.80
01/27/2023,$486.05,3177132,$493.37,$493.37,$484.47
01/26/2023,$492.48,3004962,$492.50,$496.45,$490.5801
01/25/2023,$492.50,3037315,$489.28,$495.36,$485.73
01/24/2023,$491.60,3036295,$500.26,$500.26,$480.00
01/23/2023,$485.81,3418670,$486.68,$490.10,$481.39
01/20/2023,$486.72,3525905,$485.53,$486.99,$479.00
01/19/2023,$484.36,4549554,$477.87,$486.39,$477.3882
01/18/2023,$476.24,4398196,$488.05,$489.50,$474.75
01/17/2023,$485.08,4495565,$491.20,$492.94,$483.78
01/13/2023,$489.57,5390067,$486.11,$509.50,$486.00
01/12/2023,$495.67,3726800,$490.00,$498.73,$485.22
01/11/2023,$493.40,4274212,$485.29,$495.60,$485.00
01/10/2023,$486.00,3164038,$488.85,$490.47,$482.68
01/09/2023,$490.06,3702782,$492.41,$499.99,$488.54
01/06/2023,$490.00,4841278,$491.59,$492.87,$487.5401
01/05/2023,$489.96,5497123,$501.01,$502.09,$488.50
01/04/2023,$504.50,5070439,$518.64,$518.64,$500.60
01/03/2023,$518.64,3525627,$525.13,$525.63,$512.1601
12/30/2022,$530.18,1849605,$530.00,$530.50,$524.84
12/29/2022,$529.88,1379681,$532.54,$533.68,$528.86
12/28/2022,$528.45,1694377,$535.07,$538.15,$527.734
12/27/2022,$531.99,1596719,$533.93,$535.84,$529.845
12/23/2022,$531.31,1292327,$524.10,$531.31,$522.895
