Date,Close/Last,Volume,Open,High,Low
06/22/2023,$155.75,4435901,$154.98,$156.08,$154.48
06/21/2023,$154.46,6417142,$154.21,$155.335,$153.36
06/20/2023,$154.16,6669256,$154.70,$155.45,$153.88
06/16/2023,$155.53,11558580,$158.08,$158.15,$155.28
06/15/2023,$157.73,6053451,$157.00,$158.23,$156.98
06/14/2023,$156.87,7034372,$155.91,$157.33,$155.61
06/13/2023,$155.30,5246295,$154.52,$155.51,$154.07
06/12/2023,$154.10,4905222,$153.43,$154.30,$153.165
06/09/2023,$153.09,5201867,$152.16,$153.72,$151.60
06/08/2023,$152.17,6291772,$150.39,$152.43,$149.79
06/07/2023,$150.00,8085546,$149.25,$150.36,$149.04
06/06/2023,$149.78,5005226,$149.70,$150.19,$148.51
06/05/2023,$149.80,5184391,$149.37,$151.25,$149.64
06/02/2023,$148.82,6392748,$147.22,$149.015,$147.10
06/01/2023,$147.41,6746393,$146.21,$147.90,$145.94
05/31/2023,$146.87,10043600,$145.42,$147.31,$145.01
05/30/2023,$146.06,5247532,$146.30,$147.29,$145.60
05/26/2023,$146.42,5240285,$145.70,$146.815,$145.47
05/25/2023,$146.16,7099914,$146.88,$147.44,$145.09
05/24/2023,$147.63,6838383,$148.51,$148.54,$146.30
05/23/2023,$148.31,5434078,$148.01,$148.8598,$147.08
05/22/2023,$148.59,5372598,$149.70,$150.08,$148.285
05/19/2023,$149.91,9198037,$151.40,$151.46,$149.112
05/18/2023,$151.47,15589520,$151.80,$154.29,$149.95
05/17/2023,$149.53,8995312,$151.14,$151.15,$148.71
05/16/2023,$149.78,5180003,$150.85,$151.53,$149.5728
05/15/2023,$151.88,5371343,$153.50,$153.85,$151.38
05/12/2023,$153.07,5373086,$153.60,$154.07,$152.71
05/11/2023,$153.12,3975620,$152.55,$153.27,$152.00
05/10/2023,$152.55,5275868,$153.69,$154.35,$151.23
05/09/2023,$152.98,5069914,$152.72,$153.18,$152.34
05/08/2023,$152.72,4975566,$151.27,$152.95,$151.06
05/05/2023,$151.77,4851970,$150.30,$152.01,$149.83
05/04/2023,$150.47,4670446,$150.55,$150.99,$149.49
05/03/2023,$150.62,4111451,$151.56,$152.10,$150.27
05/02/2023,$151.18,3776718,$151.47,$151.49,$149.46
05/01/2023,$151.59,3803383,$151.04,$152.54,$150.93
04/28/2023,$150.97,4696193,$151.29,$152.17,$150.18
04/27/2023,$151.38,4286990,$150.78,$151.94,$150.78
04/26/2023,$150.91,4303410,$150.98,$151.41,$150.22
04/25/2023,$151.57,5748866,$153.29,$153.75,$151.33
04/24/2023,$152.76,4526502,$151.71,$152.95,$151.71
04/21/2023,$151.73,8445244,$151.96,$152.30,$151.175
04/20/2023,$150.97,4547325,$150.21,$151.39,$149.60
04/19/2023,$150.01,4144515,$150.84,$151.41,$149.77
04/18/2023,$149.85,4494317,$149.78,$150.34,$149.44
04/17/2023,$149.52,5388938,$148.64,$149.67,$148.50
04/14/2023,$148.48,3488507,$149.03,$149.89,$148.145
04/13/2023,$149.49,4424230,$149.65,$150.00,$148.20
04/12/2023,$149.34,3736566,$149.79,$150.97,$149.17
04/11/2023,$150.07,6123476,$151.00,$151.00,$149.62
04/10/2023,$150.51,4839699,$150.36,$151.12,$149.77
04/06/2023,$150.80,5963871,$148.80,$151.0376,$148.52
04/05/2023,$149.67,8846897,$147.17,$149.88,$147.14
04/04/2023,$147.23,6037887,$148.53,$148.79,$147.02
04/03/2023,$148.69,6588882,$147.73,$148.95,$147.50
03/31/2023,$147.45,6955996,$146.58,$148.44,$146.47
03/30/2023,$145.67,7292999,$145.50,$146.60,$145.02
03/29/2023,$144.23,8072466,$144.37,$144.96,$143.45
03/28/2023,$143.61,7094282,$143.65,$144.41,$143.05
03/27/2023,$144.17,8925172,$142.79,$144.975,$142.78
