Date,Close/Last,Volume,Open,High,Low
06/22/2023,$103.30,12458810,$102.84,$103.885,$102.65
06/21/2023,$103.87,13285740,$102.50,$104.63,$102.33
06/20/2023,$102.72,17519380,$104.68,$104.77,$102.12
06/16/2023,$105.13,43128870,$106.36,$106.77,$104.955
06/15/2023,$105.89,16224120,$105.50,$107.03,$105.44
06/14/2023,$105.16,16627680,$107.45,$108.11,$104.39
06/13/2023,$106.44,13533780,$107.38,$108.34,$106.275
06/12/2023,$106.42,14115160,$105.81,$107.06,$105.555
06/09/2023,$107.39,12252530,$108.455,$108.61,$107.16
06/08/2023,$108.19,13517920,$108.77,$109.14,$105.90
06/07/2023,$108.53,16027090,$106.79,$108.89,$106.73
06/06/2023,$106.15,12209770,$104.15,$106.27,$103.98
06/05/2023,$105.29,10628000,$107.19,$107.025,$105.09
06/02/2023,$105.76,14112040,$105.16,$106.13,$104.53
06/01/2023,$103.36,13551940,$101.75,$105.58,$101.26
05/31/2023,$102.18,24926120,$102.29,$103.04,$101.74
05/30/2023,$104.04,11938030,$103.29,$104.12,$102.61
05/26/2023,$104.97,12370330,$106.47,$106.95,$104.8327
05/25/2023,$105.66,14316460,$105.94,$106.43,$104.71
05/24/2023,$107.59,16340290,$107.38,$108.51,$106.73
05/23/2023,$106.40,14394440,$105.99,$108.22,$105.75
05/22/2023,$104.97,12882000,$105.84,$107.04,$104.88
05/19/2023,$106.26,13359630,$106.57,$107.05,$105.82
05/18/2023,$105.77,12005610,$104.55,$105.91,$104.13
05/17/2023,$104.82,14064740,$103.39,$105.23,$102.85
05/16/2023,$102.52,14800200,$104.63,$104.81,$102.02
05/15/2023,$105.07,13715580,$105.51,$105.925,$104.58
05/12/2023,$105.78,12613250,$106.31,$107.01,$104.775
05/11/2023,$105.79,17165900,$106.49,$106.82,$104.933
05/10/2023,$107.74,14884790,$109.74,$110.01,$106.71
05/09/2023,$109.14,11370770,$108.34,$110.23,$108.21
05/08/2023,$109.11,11187750,$110.50,$110.97,$109.04
05/05/2023,$108.68,14968200,$108.55,$109.43,$107.53
05/04/2023,$106.04,17177150,$107.90,$108.75,$105.91
05/03/2023,$107.93,16212340,$109.08,$109.81,$107.755
05/02/2023,$110.10,24324100,$113.94,$113.94,$109.29
05/01/2023,$114.67,17354990,$115.99,$117.30,$114.45
04/28/2023,$118.34,24381950,$117.25,$119.92,$116.83
04/27/2023,$116.83,16279190,$115.62,$117.01,$114.8818
04/26/2023,$115.45,15566090,$116.03,$117.09,$114.68
04/25/2023,$116.52,12179830,$117.55,$117.74,$115.63
04/24/2023,$118.20,15831310,$115.92,$118.885,$115.88
04/21/2023,$116.01,14315330,$116.49,$116.88,$115.26
04/20/2023,$115.64,17038750,$115.125,$115.68,$113.2298
04/19/2023,$116.57,10682610,$116.08,$116.90,$115.77
04/18/2023,$116.94,17436140,$114.39,$117.21,$114.30
04/17/2023,$114.70,13260350,$115.49,$116.51,$114.42
04/14/2023,$116.05,11530830,$115.90,$116.66,$115.12
04/13/2023,$115.77,12399650,$114.60,$115.89,$114.13
04/12/2023,$115.23,10919020,$116.16,$116.59,$114.93
04/11/2023,$115.35,11758460,$114.96,$116.1999,$114.38
04/10/2023,$114.54,13006550,$114.78,$116.18,$114.17
04/06/2023,$115.05,15777960,$116.86,$117.18,$114.77
04/05/2023,$116.99,16479470,$115.35,$117.00,$114.31
04/04/2023,$115.02,16365490,$116.26,$116.70,$114.17
04/03/2023,$116.13,28087680,$113.39,$116.85,$113.12
03/31/2023,$109.66,14417960,$109.68,$110.17,$109.0499
03/30/2023,$109.49,11578170,$109.55,$109.57,$108.52
03/29/2023,$108.96,14219120,$108.06,$109.16,$107.49
03/28/2023,$107.12,11047590,$105.44,$107.65,$105.19
03/27/2023,$105.80,14805910,$104.74,$106.48,$103.91
03/24/2023,$103.53,13405810,$101.47,$103.85,$100.9132
03/23/2023,$103.41,14385870,$105.36,$106.34,$102.44
03/22/2023,$104.59,14952670,$106.80,$107.175,$104.56
03/21/2023,$107.04,31592310,$104.17,$107.28,$104.13
03/20/2023,$102.45,32042110,$99.63,$102.48,$99.50
